代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
600874	创业环保	1.65	3385977344	24.69	24.29	0	1387121	0.16	24.00	24.93	23.68	--  	0.00	5.15	0.40	   4777	24.72	0.000	1082913.25	
002158	汉钟精机	5.13	2917319936	22.75	21.64	0	1310667	0.70	22.40	23.25	20.92	--  	0.00	10.77	1.11	   4708	22.75	0.000	246702.41	
300157	恒泰艾普	2.96	2779566848	13.20	12.82	0	2147850	0.45	12.88	13.43	12.44	--  	0.00	7.72	0.38	   4624	13.20	-0.000	599883.06	
600340	华夏幸福	3.89	2578718720	32.89	31.66	0	797624	-0.18	31.39	33.13	31.25	--  	0.00	5.94	1.23	   4738	32.91	-0.000	28035706.00	
002460	赣锋锂业	10.00	2481970432	44.99	40.90	0	574348	0.00	41.01	44.99	40.40	--  	0.00	11.22	4.09	   4636	44.99	0.000	454759.56	
300334	津膜科技	9.99	2390592768	36.87	33.52	0	662504	0.00	35.30	36.87	34.72	--  	0.00	6.41	3.35	   3240	36.87	-0.000	245226.95	
00005	汇丰控股	0.22	2296350976	69.000	68.850	400	33297412	-0.14	68.900	69.150	68.550	--  	2.36	0.87	0.150	   4413	69.000	69.000	237498592.00	
600519	贵州茅台	2.52	2145037952	430.12	419.55	0	50165	0.17	419.60	431.22	418.26	--  	0.00	3.09	10.57	   4247	430.19	-0.000	11897872.00	
002282	博深工具	8.79	1957101184	26.48	24.34	0	758881	0.18	26.00	26.69	24.81	--  	0.00	7.72	2.14	   4609	26.48	-0.000	102946.56	
000615	京汉股份	6.82	1924575360	18.32	17.15	0	1078773	0.00	16.80	18.87	16.68	--  	0.00	12.77	1.17	   4649	18.32	-0.000	666055.69	
000858	五 粮 液	5.36	1921926656	47.60	45.18	0	411332	0.29	45.15	47.60	44.83	--  	0.00	6.13	2.42	   4674	47.60	-0.000	6786661.50	
002466	天齐锂业	8.39	1893885952	47.78	44.08	0	412451	0.04	44.10	48.09	43.71	--  	0.00	9.94	3.70	   4652	47.78	-0.000	1195507.38	
002542	中化岩土	4.95	1833401856	14.00	13.34	0	1341054	0.00	13.10	14.26	12.88	--  	0.00	10.34	0.66	   4728	14.00	0.000	555334.00	
002146	荣盛发展	5.45	1771870080	10.65	10.10	0	1693739	-0.18	10.21	10.83	10.16	--  	0.00	6.63	0.55	   4637	10.65	-0.000	15673043.00	
03988	中国银行	0.51	1587622400	3.910	3.890	1000	406814400	0.26	3.920	3.940	3.870	--  	0.00	1.80	0.020	   5604	3.900	3.910	1891754880.00	
000158	常山股份	3.25	1540515072	15.25	14.77	0	1018954	0.00	14.91	15.41	14.70	--  	0.00	4.81	0.48	   4584	15.24	0.000	1182317.63	
002373	千方科技	9.98	1532723968	17.52	15.93	0	929891	0.00	15.61	17.52	15.45	--  	0.00	12.99	1.59	   3973	17.52	0.000	608847.31	
002415	海康威视	3.03	1278627072	27.17	26.37	0	478878	0.03	26.45	27.27	26.03	--  	0.00	4.70	0.80	   4726	27.17	0.000	4265782.00	
000958	东方能源	10.03	1259492608	19.75	17.95	0	647199	0.00	18.80	19.75	18.68	--  	0.00	5.96	1.80	   2134	19.75	0.000	562787.44	
000600	建投能源	6.63	1196930176	13.18	12.36	0	936062	0.07	12.08	13.33	12.01	--  	0.00	10.68	0.82	   4626	13.18	0.000	2924370.75	
600155	宝硕股份	3.79	1194245248	16.96	16.34	0	721387	0.00	15.95	17.07	15.82	--  	0.00	7.65	0.62	   4644	16.96	-0.000	3329225.25	
00941	中国移动	0.35	1191815936	85.850	85.550	500	13880039	-0.12	85.900	86.150	85.200	--  	1.45	1.11	0.300	   3012	85.850	85.850	152099392.00	
300044	赛为智能	4.51	1189894144	25.24	24.15	0	485902	-0.03	23.88	25.41	23.65	--  	0.00	7.29	1.09	   4525	25.23	-0.000	223381.42	
02800	盈富基金	0.00	1181616512	25.600	25.600	500	46249848	0.20	25.600	25.650	25.450	342166240	0.00	0.78	0.000	    936	--  	25.600	0.00	
