代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000038	深大通	--  	0	    29.10	        103.41亿	          0.00	广告包装	0	--  	--  	--  	--  	--  	
000502	绿景控股	-0.91	38383560	--  	         22.14亿	          1.73	医疗保健	670	0.34	11.98	12.15	12.26	11.92	
000821	京山轻机	1.49	131910648	    50.84	         71.76亿	          2.55	轻工机械	1582	0.13	15.02	14.88	15.19	14.72	
000938	紫光股份	2.96	464352864	    44.42	        666.97亿	          3.54	软件服务	1555	0.14	64.00	62.25	64.23	62.00	
000977	浪潮信息	-0.38	375261952	    70.72	        235.93亿	          1.58	电脑设备	3261	-0.10	18.30	18.50	18.69	18.20	
002065	东华软件	-2.51	242749184	    25.45	        305.50亿	          0.89	软件服务	2599	0.00	9.74	9.98	10.00	9.66	
002226	江南化工	-0.76	20541978	    48.88	         59.78亿	          0.34	化工原料	925	0.15	6.56	6.62	6.68	6.52	
002230	科大讯飞	0.35	4571828224	   352.08	        791.56亿	          6.75	软件服务	7449	0.02	57.01	56.50	58.97	56.06	
002253	川大智胜	-1.67	65654684	   184.46	         51.80亿	          1.36	软件服务	398	0.09	22.96	23.30	23.36	22.80	
002261	拓维信息	-0.24	56257996	    46.18	         93.29亿	          0.73	互联网	923	0.48	8.40	8.42	8.48	8.20	
002292	奥飞娱乐	-1.60	159751008	    47.76	        200.88亿	          1.36	影视音像	1825	0.07	15.37	15.54	15.69	15.25	
002348	高乐股份	-0.78	12265384	   108.94	         60.15亿	          0.26	文教休闲	132	0.16	6.35	6.41	6.43	6.30	
002362	汉王科技	-0.03	514516960	   150.27	         66.63亿	          9.54	电脑设备	1970	0.36	30.69	30.40	31.50	30.20	
002367	康力电梯	0.41	25231002	    21.48	         78.65亿	          0.49	运输设备	709	0.20	9.87	9.82	9.90	9.72	
002402	和而泰	0.62	52020876	    41.01	         80.64亿	          0.75	元器件	3238	0.62	9.71	9.63	9.77	9.52	
002429	兆驰股份	-0.29	102447936	    23.52	        153.92亿	          0.76	家用电器	5275	0.30	3.41	3.40	3.42	3.37	
002444	巨星科技	-3.02	314575296	    29.94	        169.46亿	          1.95	轻工机械	1453	-0.05	15.77	16.25	16.28	15.56	
002502	骅威文化	1.86	44154836	    24.64	         75.24亿	          0.99	影视音像	6255	0.69	8.75	8.64	8.75	8.54	
002689	远大智能	-1.63	20707988	   117.40	         57.29亿	          0.36	运输设备	331	0.00	6.05	6.14	6.14	5.98	
002761	多喜爱	4.37	159800320	   429.56	         47.90亿	          7.14	纺织	736	0.08	39.92	38.25	41.20	37.90	
002841	视源股份	-3.15	56191396	    37.86	        301.04亿	          1.86	元器件	198	-0.07	74.09	76.49	76.49	73.50	
300002	神州泰岳	0.14	46741512	--  	        135.71亿	          0.48	软件服务	363	0.00	6.93	6.94	7.06	6.88	
300015	爱尔眼科	0.21	494973440	    50.47	        425.76亿	          1.43	医疗保健	1064	0.04	28.02	29.42	29.70	27.97	
