代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
002120	韵达股份	-0.38	125243104	    38.62	        605.58亿	          2.59	仓储物流	666	-0.09	49.75	49.78	50.17	49.01	
002183	怡 亚 通	-1.19	152172544	    27.75	        176.11亿	          0.86	仓储物流	835	0.12	8.31	8.40	8.43	8.22	
002210	飞马国际	-2.62	102709504	    85.80	        214.71亿	          0.62	仓储物流	605	-0.22	12.99	13.34	13.40	12.74	
002245	澳洋顺昌	-0.75	125841248	    26.63	         91.22亿	          1.49	仓储物流	1364	0.00	9.24	9.35	9.43	9.20	
002352	顺丰控股	-0.93	392356320	    55.10	       2677.93亿	          4.53	仓储物流	990	0.10	60.72	62.00	62.08	59.90	
002468	申通快递	-2.23	198158336	    27.67	        415.92亿	          2.18	仓储物流	984	0.04	27.18	27.89	27.95	26.83	
002492	恒基达鑫	-2.62	47720544	    51.02	         33.13亿	          1.63	仓储物流	493	-0.23	8.19	8.40	8.54	8.08	
002711	欧浦智网	-0.52	431617344	    37.99	        141.83亿	          3.06	仓储物流	5444	0.00	13.44	13.51	13.70	13.36	
002769	普路通	0.95	35999164	    30.19	         60.32亿	          1.18	仓储物流	657	0.13	16.02	15.75	16.08	15.75	
002800	天顺股份	-3.26	54470832	    61.06	         29.46亿	          3.94	仓储物流	364	0.13	39.46	40.31	40.87	38.90	
002889	东方嘉盛	-2.12	151362976	    40.93	         50.42亿	         11.95	仓储物流	670	0.03	36.52	37.60	37.60	36.00	
300013	新宁物流	-4.01	62877844	    48.86	         46.34亿	          1.70	仓储物流	921	-0.12	15.56	16.27	16.27	15.50	
300240	飞力达	--  	0	    46.54	         40.07亿	          0.00	仓储物流	0	--  	--  	--  	--  	--  	
600057	象屿股份	-0.50	39346576	    17.74	        117.08亿	          0.36	仓储物流	51	0.10	10.00	10.05	10.09	9.97	
600119	长江投资	-2.79	255699488	   155.64	         50.29亿	          5.03	仓储物流	4	0.31	16.36	16.96	16.97	16.25	
600179	安通控股	-0.75	120572944	    51.97	        253.32亿	          1.05	仓储物流	3	-0.03	23.86	23.95	24.14	23.75	
600180	瑞茂通	0.32	30157832	    26.83	        126.55亿	          0.27	仓储物流	9	0.16	12.45	12.42	12.59	12.40	
600233	圆通速递	-2.58	149670288	    42.36	        597.54亿	          0.90	仓储物流	1	0.33	21.17	21.74	21.85	21.00	
600270	外运发展	-4.11	369655872	    12.72	        164.80亿	          2.21	仓储物流	84	-0.26	18.20	18.94	19.08	18.17	
600603	广汇物流	-0.90	39643380	    38.01	         76.99亿	          1.66	仓储物流	68	0.23	8.77	8.85	8.90	8.61	
600787	中储股份	-3.84	250803648	    14.03	        226.14亿	          1.29	仓储物流	5	-0.28	10.27	10.68	10.68	10.26	
600794	保税科技	-0.23	30086084	--  	         53.09亿	          0.58	仓储物流	16	0.23	4.38	4.37	4.45	4.34	
603066	音飞储存	-4.15	116006024	    49.53	         41.21亿	          6.15	仓储物流	27	-0.28	13.64	14.04	14.09	13.45	
603117	万林股份	1.06	18241088	    48.16	         52.66亿	          0.57	仓储物流	18	0.09	11.40	11.27	11.42	11.23	
603128	华贸物流	1.49	483559200	    38.27	        109.49亿	          4.86	仓储物流	96	0.00	10.91	10.80	11.09	10.71	
603535	嘉诚国际	-2.65	121974696	    43.47	         47.54亿	         10.20	仓储物流	13	-0.12	31.61	32.50	32.50	31.40	
603569	长久物流	-2.71	52137288	    38.93	        120.72亿	          2.98	仓储物流	1	0.10	30.19	31.14	31.35	29.96	
603648	畅联股份	1.49	884006976	    69.32	        110.71亿	         32.01	仓储物流	11	-0.22	30.00	29.15	30.93	28.92	
603813	原尚股份	0.14	196430032	    73.74	         37.31亿	         21.02	仓储物流	6	-0.06	42.30	41.91	42.99	41.40	
数据来源:通达信
