代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
03333	中国恒大	9.38	3079625728	30.900	28.250	1000	101160112	0.00	30.000	31.600	29.050	--  	0.00	9.03	2.650	地产	--  	30.900	
01918	融创中国	4.78	1387770496	36.200	34.550	1000	38937052	0.42	35.250	36.500	34.700	--  	0.00	5.21	1.650	地产	--  	36.200	
02007	碧桂园	4.36	605801920	12.440	11.920	1000	49298016	0.00	12.160	12.520	11.980	--  	1.39	4.53	0.520	地产	--  	12.440	
01109	华润置地	0.00	425609760	23.200	23.200	2000	18402846	0.00	23.200	23.350	22.850	--  	0.43	2.16	0.000	地产	--  	23.200	
00688	中国海外发展	0.81	388326336	25.000	24.800	2000	15568901	0.00	24.700	25.200	24.700	--  	1.40	2.02	0.200	地产	--  	25.000	
00016	新鸿基地产	1.18	377424160	128.800	127.300	1000	2930451	-0.16	128.000	129.400	127.800	--  	2.33	1.26	1.500	地产	--  	128.800	
01113	长实集团	0.68	305886720	66.450	66.000	500	4611421	0.30	66.350	66.700	66.050	--  	0.63	0.98	0.450	地产	--  	66.450	
00004	九龙仓集团	1.96	300385600	75.450	74.000	1000	4010570	0.07	74.100	75.600	73.750	--  	0.97	2.50	1.450	地产	--  	75.450	
02202	万科企业	1.80	288465344	28.300	27.800	100	10238578	0.35	27.550	28.550	27.550	--  	0.00	3.60	0.500	地产	--  	28.300	
00755	上海证大	29.66	182756784	0.153	0.118	5000	1044310016	0.00	0.260	0.260	0.147	--  	0.00	95.76	0.035	地产	--  	0.153	
00017	新世界发展	0.17	162090016	11.780	11.760	1000	13796383	-0.34	11.700	11.840	11.680	--  	2.80	1.36	0.020	地产	--  	11.780	
00960	龙湖地产	0.76	153481120	18.540	18.400	500	8358819	-0.75	18.580	18.700	18.040	--  	1.24	3.59	0.140	地产	--  	18.540	
01638	佳兆业集团	0.44	149443344	4.550	4.530	1000	32989926	0.00	4.560	4.670	4.390	--  	0.00	6.18	0.020	地产	--  	4.550	
00607	丰盛控股	0.00	137382176	3.300	3.300	2500	41645032	0.30	3.280	3.310	3.260	--  	0.00	1.52	0.000	地产	--  	3.300	
00012	恒基地产	1.15	128864872	52.800	52.200	1000	2457603	0.48	52.250	52.800	51.750	--  	0.91	2.01	0.600	地产	--  	52.800	
02777	富力地产	1.08	126577248	16.880	16.700	400	7536563	0.12	16.740	17.020	16.620	--  	2.25	2.40	0.180	地产	--  	16.880	
00014	希慎兴业	7.43	90224264	41.200	38.350	1000	2251818	0.86	38.650	41.200	38.450	--  	0.63	7.17	2.850	地产	--  	41.200	
03383	雅居乐集团	1.60	76520248	11.420	11.240	2000	6754039	0.18	11.360	11.480	11.140	--  	1.93	3.02	0.180	地产	--  	11.420	
00083	信和置业	2.51	73742992	13.860	13.520	2000	5351702	0.43	13.580	13.860	13.520	--  	2.89	2.51	0.340	地产	--  	13.860	
00101	恒隆地产	0.00	69375872	17.760	17.760	1000	3911500	0.11	17.740	17.860	17.660	--  	0.96	1.13	0.000	地产	--  	17.760	
00884	旭辉控股集团	-0.72	68605680	4.120	4.150	2000	16670966	0.24	4.160	4.220	4.080	--  	1.21	3.37	-0.030	地产	--  	4.120	
00817	中国金茂	1.67	61512656	3.650	3.590	2000	16949862	0.83	3.620	3.670	3.550	--  	2.25	3.34	0.060	地产	--  	3.650	
03883	中国奥园	1.62	61077120	4.390	4.320	1000	13998231	0.00	4.430	4.440	4.300	--  	0.00	3.24	0.070	地产	--  	4.390	
01813	合景泰富	2.72	56122712	7.540	7.340	500	7533896	0.40	7.430	7.550	7.290	--  	1.53	3.54	0.200	地产	--  	7.540	
00683	嘉里建设	-0.14	55591852	35.350	35.400	500	1577000	0.14	35.300	35.450	35.050	--  	0.00	1.13	-0.050	地产	--  	35.350	
00813	世茂房地产	1.48	52280660	16.480	16.240	500	3180286	-0.24	16.400	16.600	16.240	--  	2.43	2.22	0.240	地产	--  	16.480	
02098	卓尔集团	-0.78	50398224	6.380	6.430	1000	7870000	0.31	6.400	6.490	6.350	--  	0.00	2.18	-0.050	地产	--  	6.380	
03380	龙光地产	1.69	48590408	7.240	7.120	2000	6755290	0.28	7.200	7.240	7.120	--  	3.04	1.69	0.120	地产	--  	7.240	
03900	绿城中国	2.72	47968628	9.820	9.560	500	4926500	-0.10	9.500	9.860	9.500	--  	0.00	3.77	0.260	地产	--  	9.820	
03377	远洋集团	-0.20	47636140	5.010	5.020	500	9497063	-0.40	5.000	5.080	4.990	--  	3.27	1.79	-0.010	地产	--  	5.010	
