代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000009	中国宝安	-2.39	169492368	    69.40	        167.00亿	          1.02	综合类	1682	0.00	7.78	7.96	7.98	7.66	
000049	德赛电池	3.14	401727168	    44.30	        110.03亿	          3.67	电气设备	740	0.02	53.62	52.32	53.70	52.15	
000063	中兴通讯	1.96	3147490048	    26.36	       1124.80亿	          2.83	通信设备	13520	0.15	32.75	31.88	32.84	31.81	
000413	东旭光电	-0.38	691378240	    37.73	        516.22亿	          1.61	元器件	6357	0.10	10.45	10.42	10.62	10.35	
000511	*ST烯碳	--  	0	--  	          0.00亿	          0.00	矿物制品	0	--  	--  	--  	--  	--  	
000559	万向钱潮	-0.61	169744288	    37.80	        313.58亿	          0.54	汽车配件	1822	0.09	11.40	11.42	11.55	11.25	
000572	海马汽车	-0.59	100756192	--  	         83.05亿	          1.22	汽车整车	2760	0.20	5.05	5.07	5.12	4.98	
000601	韶能股份	1.51	100238224	    15.05	         87.20亿	          1.14	水力发电	564	-0.11	8.08	7.96	8.30	7.92	
000625	长安汽车	-1.25	208490640	     8.31	        644.04亿	          0.41	汽车整车	2062	0.00	13.42	13.57	13.57	13.37	
000733	振华科技	-0.20	45542708	    30.79	         71.57亿	          0.64	元器件	181	0.07	15.26	15.29	15.37	15.17	
000762	西藏矿业	-4.52	379741664	  1431.39	         84.63亿	          4.85	小金属	1820	-0.05	16.25	17.16	17.16	16.00	
000791	甘肃电投	-0.88	153791088	    27.77	         87.69亿	          1.74	水力发电	2732	0.11	9.03	9.07	9.27	8.94	
000795	英洛华	-0.93	79934688	    58.23	         72.22亿	          1.82	矿物制品	2388	-0.15	6.38	6.44	6.49	6.32	
000800	一汽轿车	1.19	236455968	    49.88	        193.67亿	          1.41	汽车整车	1485	0.00	11.91	11.76	12.02	11.70	
000839	中信国安	2.32	6097441792	   135.81	        448.82亿	         13.04	综合类	50951	-0.25	11.46	12.31	12.31	11.41	
000868	安凯客车	0.89	434704064	--  	         63.23亿	          6.86	汽车整车	13249	0.11	9.09	8.95	9.28	8.90	
000887	中鼎股份	0.16	93311672	    18.41	        233.43亿	          0.40	橡胶	641	-0.04	18.93	18.98	19.12	18.83	
000893	东凌国际	-3.03	59520328	--  	         62.97亿	          1.77	食品	976	0.12	8.32	8.50	8.60	8.28	
000922	*ST佳电	-0.12	45126792	    65.24	         45.94亿	          1.17	电气设备	364	0.12	8.45	8.42	8.56	8.34	
000957	中通客车	-0.82	78536424	    43.95	         71.44亿	          1.36	汽车整车	1418	0.08	12.05	12.05	12.35	11.88	
000970	中科三环	0.72	316358976	    61.36	        164.68亿	          1.93	元器件	3138	-0.05	15.46	15.35	15.54	15.20	
000980	众泰汽车	-2.26	199296448	    41.33	        264.70亿	          2.89	汽车配件	1302	0.00	12.99	13.25	13.25	12.83	
002011	盾安环境	1.46	142661856	   114.94	         88.97亿	          1.74	工程机械	1678	0.21	9.71	9.66	9.95	9.62	
002048	宁波华翔	-3.54	200042496	    15.61	        129.86亿	          1.75	汽车配件	1279	-0.15	24.55	25.40	25.46	24.44	
002050	三花智控	-1.70	448074528	    27.16	        354.52亿	          1.70	机械基件	606	-0.11	16.73	16.90	17.35	16.40	
002055	得润电子	-3.82	185191648	    62.68	        102.44亿	          2.07	元器件	1308	0.00	21.93	22.70	22.81	21.72	
002074	国轩高科	-1.50	201428448	    30.47	        259.86亿	          1.40	电气设备	396	-0.12	29.66	30.00	30.12	29.30	
002076	雪 莱 特	-0.79	45132716	   112.80	         45.64亿	          1.72	家用电器	2001	0.16	6.26	6.24	6.30	6.17	
002085	万丰奥威	0.12	44846960	    39.83	        376.58亿	          0.12	汽车配件	607	0.06	17.22	17.24	17.28	17.08	
002089	新 海 宜	6.51	223954496	    78.48	         92.24亿	          3.61	通信设备	4034	0.00	6.71	6.29	6.92	6.28	
002091	江苏国泰	-2.79	110966536	    19.25	        153.38亿	          1.62	商贸代理	576	-0.09	9.76	10.00	10.09	9.68	
002126	银轮股份	-2.19	91748480	    23.46	         75.14亿	          1.60	汽车配件	592	0.21	9.38	9.55	9.59	9.28	
002131	利欧股份	1.62	142668864	    29.56	        175.52亿	          1.44	互联网	5858	0.00	3.13	3.08	3.16	3.05	
002176	江特电机	-1.42	417640064	    65.44	        183.79亿	          2.40	电气设备	4608	-0.07	12.52	12.70	12.86	12.37	
002179	中航光电	1.03	117230448	    34.30	        287.85亿	          0.41	元器件	111	-0.07	36.40	35.99	36.59	35.98	
002184	海得控制	-1.35	48269536	   341.67	         35.45亿	          2.42	软件服务	756	0.00	14.61	14.65	14.99	14.41	
002190	成飞集成	0.49	51302136	 10438.20	         84.67亿	          0.61	汽车配件	136	0.08	24.54	24.49	24.57	24.22	
002196	方正电机	-2.73	73580536	    41.85	         48.20亿	          2.37	纺织机械	643	0.00	10.70	10.99	11.09	10.51	
002224	三 力 士	-0.10	31319660	    40.10	         66.86亿	          0.66	橡胶	275	-0.09	10.17	10.13	10.25	10.10	
002239	奥特佳	0.25	42960276	    38.19	        127.45亿	          0.58	汽车配件	2236	0.25	4.07	4.06	4.08	4.04	
