代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000150	宜华健康	-2.03	11812046	    58.49	        118.67亿	          0.12	医疗保健	266	-0.48	26.50	26.67	27.16	26.50	
000503	海虹控股	--  	0	--  	        224.08亿	          0.00	医疗保健	0	--  	--  	--  	--  	--  	
000516	国际医学	-0.59	53551904	    41.03	         99.74亿	          0.55	百货	738	0.00	5.06	5.06	5.09	5.03	
000638	万方发展	--  	0	   103.74	         34.47亿	          0.00	批发业	0	--  	--  	--  	--  	--  	
002065	东华软件	-2.51	242749184	    25.45	        305.50亿	          0.89	软件服务	2599	0.00	9.74	9.98	10.00	9.66	
002178	延华智能	0.24	27558080	--  	         89.93亿	          0.36	建筑施工	249	-0.07	12.57	12.45	12.58	12.45	
002223	鱼跃医疗	-3.58	227312752	    29.56	        207.91亿	          1.26	医疗保健	894	-0.23	20.75	21.58	21.58	20.70	
002262	恩华药业	-1.22	66511024	    32.13	        147.64亿	          0.52	化学制药	295	0.07	14.63	14.82	14.92	14.50	
002315	焦点科技	-1.64	82158584	    69.73	         57.81亿	          2.64	互联网	424	0.20	24.62	25.12	25.20	24.32	
002421	达实智能	2.05	184157760	    41.45	        114.65亿	          1.79	软件服务	1840	0.00	5.97	5.95	6.08	5.91	
002432	九安医疗	-3.61	182761440	--  	         49.64亿	          3.65	医疗保健	2368	0.09	11.48	11.72	11.85	11.33	
002551	尚荣医疗	-2.32	71607632	    33.34	         64.38亿	          1.80	医疗保健	896	-0.20	9.70	9.83	9.90	9.61	
002690	美亚光电	-1.19	41770500	    35.29	        123.03亿	          0.70	专用机械	335	0.17	18.21	18.35	18.48	17.95	
002698	博实股份	-0.45	20712136	    62.50	         74.85亿	          0.35	化工机械	94	-0.08	10.99	11.03	11.12	10.93	
300015	爱尔眼科	0.21	494973440	    50.47	        425.76亿	          1.43	医疗保健	1064	0.04	28.02	29.42	29.70	27.97	
300018	中元股份	-1.72	23443784	    56.18	         36.24亿	          0.96	电气设备	364	-0.12	7.44	7.54	7.69	7.43	
300020	银江股份	0.16	83724992	    49.23	         80.66亿	          1.10	软件服务	841	0.16	12.31	12.25	12.44	12.16	
300049	福瑞股份	0.27	23561336	    59.87	         39.17亿	          0.70	中成药	289	0.00	14.91	14.85	14.96	14.65	
300074	华平股份	-1.85	57188168	   207.51	         43.35亿	          1.80	通信设备	674	-0.12	7.99	8.15	8.19	7.85	
300075	数字政通	-0.50	68729728	    74.59	         75.57亿	          1.41	软件服务	386	0.11	17.81	17.86	18.06	17.67	
300078	思创医惠	-3.78	199910528	    64.10	         92.58亿	          3.48	元器件	1635	-0.16	11.47	11.83	11.90	11.39	
300096	易联众	-0.34	54281120	--  	         62.13亿	          0.97	软件服务	427	-0.06	14.46	14.56	14.56	14.35	
300146	汤臣倍健	-2.42	231002656	    18.27	        195.67亿	          1.97	食品	2679	-0.44	13.32	13.60	13.79	13.30	
300168	万达信息	0.62	113962896	    90.85	        134.76亿	          0.86	软件服务	916	0.00	13.08	12.99	13.32	12.95	
300199	翰宇药业	0.87	58414600	    45.29	        141.51亿	          0.69	化学制药	129	-0.06	15.16	15.05	15.23	15.00	
300206	理邦仪器	-2.80	52347288	    58.67	         52.71亿	          1.67	医疗保健	834	-0.21	9.01	9.28	9.35	8.93	
300244	迪安诊断	-1.14	137817552	    46.04	        153.41亿	          1.44	医疗保健	300	0.00	27.84	28.30	28.45	27.69	
300253	卫宁健康	-0.83	75015432	    64.59	        115.07亿	          0.91	软件服务	1183	0.00	7.20	7.23	7.30	7.15	
300273	和佳股份	-3.14	112176520	    81.36	         80.28亿	          1.94	医疗保健	1124	-0.09	10.20	10.44	10.54	10.09	
300288	朗玛信息	-2.73	134521232	    22.15	         91.62亿	          2.90	软件服务	334	0.04	27.11	27.93	28.14	26.83	
300290	荣科科技	0.43	21007702	   195.23	         30.28亿	          1.72	软件服务	157	0.00	9.43	9.39	9.44	9.33	
300298	三诺生物	-0.27	128685984	    32.81	         91.81亿	          1.88	医疗保健	205	-0.08	22.55	22.62	23.12	22.23	
300300	汉鼎宇佑	0.31	48099160	   128.15	         75.16亿	          1.08	软件服务	162	-0.11	16.36	16.18	16.76	15.90	
300310	宜通世纪	-0.43	89184096	    47.25	        101.13亿	          1.34	通信设备	909	0.17	11.46	11.51	11.64	11.36	
300479	神思电子	-0.78	69821728	   242.48	         36.70亿	          3.46	软件服务	481	0.17	22.94	22.90	23.34	22.38	
300698	万马科技	-0.42	122957304	   103.57	         41.63亿	         11.77	通信设备	759	0.06	31.07	30.88	31.68	30.69	
600572	康恩贝	-2.59	139700720	    23.29	        188.56亿	          0.90	中成药	366	0.13	7.51	7.69	7.74	7.45	
600588	用友网络	-1.36	190676752	--  	        340.58亿	          0.56	软件服务	2	0.30	23.26	23.57	23.85	22.89	
600718	东软集团	-0.87	120229576	    89.68	        197.67亿	          0.61	软件服务	8	-0.12	15.90	15.96	16.18	15.79	
600962	国投中鲁	-0.23	16901428	  9586.31	         33.64亿	          0.52	软饮料	2	0.39	12.85	12.90	13.00	12.63	
600998	九州通	-1.34	110662736	    26.52	        337.61亿	          0.34	医药商业	50	-0.09	19.91	20.18	20.24	19.62	
601567	三星医疗	-0.67	15865431	    26.50	        148.04亿	          0.12	电器仪表	3	0.00	10.46	10.40	10.65	10.39	
603990	麦迪科技	0.46	20682002	    82.02	         32.00亿	          2.63	软件服务	8	0.23	39.54	39.36	39.68	38.81	
数据来源:通达信
