代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000005	世纪星源	-1.52	25432132	--  	         48.16亿	          0.59	房产服务	922	0.22	4.55	4.62	4.63	4.52	
000425	徐工机械	-1.09	165267184	    24.59	        255.08亿	          0.65	工程机械	2983	0.00	3.64	3.67	3.68	3.60	
000532	华金资本	1.98	49839664	   116.61	         42.54亿	          1.15	元器件	402	0.08	12.34	12.80	12.96	12.27	
000544	中原环保	-2.15	33485404	    31.39	        112.54亿	          0.55	环境保护	535	-0.34	17.33	17.52	17.64	17.32	
000598	兴蓉环境	-0.70	92034536	    17.15	        170.21亿	          0.54	水务	844	0.00	5.71	5.73	5.77	5.68	
000605	渤海股份	-3.01	56920708	    59.91	         53.65亿	          1.35	水务	537	0.19	21.30	21.90	22.08	21.21	
000685	中山公用	-1.50	62188032	    14.17	        154.59亿	          0.55	水务	528	0.10	10.48	10.61	10.65	10.42	
000753	漳州发展	-0.93	21451546	   182.83	         42.34亿	          0.57	汽车服务	290	0.00	4.27	4.29	4.33	4.24	
000778	新兴铸管	-1.88	169106640	    21.22	        228.68亿	          0.81	钢加工	3901	0.17	5.73	5.83	5.87	5.68	
000826	启迪桑德	-2.02	276580608	    32.73	        362.55亿	          0.91	环境保护	2251	0.48	35.48	36.15	36.46	35.25	
000915	山大华特	-4.40	234072080	    27.55	         79.44亿	          2.92	化学制药	366	0.06	33.92	35.50	35.78	33.76	
000920	南方汇通	-0.27	36937960	    38.29	         46.63亿	          0.79	环境保护	242	0.00	11.06	11.03	11.14	10.99	
000925	众合科技	2.05	47130684	   163.62	         64.64亿	          0.93	专用机械	152	0.06	16.45	16.01	17.70	15.98	
002034	美 欣 达	0.67	45787700	   485.41	         68.39亿	          1.18	纺织	94	0.02	63.31	62.63	63.37	61.84	
002051	中工国际	-2.29	196254416	    20.06	        228.23亿	          0.85	建筑施工	406	0.10	20.52	21.03	21.18	20.38	
