代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000027	深圳能源	-0.31	24686362	    23.42	        250.95亿	          0.10	火力发电	86	0.16	6.33	6.34	6.37	6.30	
000037	深南电A	-1.69	7837057	--  	         49.13亿	          0.28	火力发电	62	0.12	8.15	8.30	8.33	8.10	
000531	穗恒运Ａ	-2.34	88989208	    30.35	         60.15亿	          1.47	火力发电	2296	-0.10	8.79	9.06	9.07	8.67	
000539	粤电力Ａ	-1.17	18520508	    25.48	        265.66亿	          0.14	火力发电	73	0.00	5.07	5.12	5.13	5.04	
000543	皖能电力	-1.65	52159004	    71.58	         95.97亿	          0.54	火力发电	281	-0.18	5.37	5.46	5.46	5.33	
000591	太阳能	0.32	114381608	    20.48	        187.64亿	          0.99	新型电力	2701	0.16	6.24	6.23	6.34	6.13	
000600	建投能源	-2.30	119405408	    52.89	        167.52亿	          1.16	火力发电	1505	0.00	9.36	9.55	9.67	9.21	
000601	韶能股份	1.51	100238224	    15.05	         87.20亿	          1.14	水力发电	564	-0.11	8.08	7.96	8.30	7.92	
000690	宝新能源	-0.52	119211776	    39.05	        166.46亿	          0.77	火力发电	3821	0.66	7.65	7.67	7.75	7.50	
000720	新能泰山	-1.96	31871684	--  	         43.17亿	          0.73	火力发电	1617	-0.19	5.00	5.10	5.17	4.96	
000722	湖南发展	-2.91	41529432	    42.22	         52.59亿	          0.79	水力发电	2300	0.44	11.33	11.65	11.65	11.24	
000767	漳泽电力	-0.31	16684933	--  	         98.46亿	          0.23	火力发电	414	0.00	3.21	3.20	3.22	3.18	
000791	甘肃电投	-0.88	153791088	    27.77	         87.69亿	          1.74	水力发电	2732	0.11	9.03	9.07	9.27	8.94	
000862	银星能源	-1.40	26599388	--  	         39.83亿	          1.41	新型电力	261	0.18	5.65	5.72	5.74	5.56	
000875	吉电股份	-1.52	42392240	--  	         97.44亿	          0.72	火力发电	1618	0.44	4.54	4.63	4.65	4.48	
000883	湖北能源	-0.41	29781356	    11.65	        316.26亿	          0.11	火力发电	793	0.00	4.86	4.88	4.90	4.83	
000899	赣能股份	-2.93	36621668	    29.93	         64.59亿	          0.85	火力发电	317	0.15	6.63	6.82	6.82	6.53	
000939	凯迪生态	0.00	41701932	    82.20	        191.76亿	          0.40	新型电力	1137	0.00	4.89	4.88	4.95	4.86	
000958	东方能源	-0.74	56832468	    99.72	         74.18亿	          1.26	火力发电	1221	0.00	6.74	6.79	6.88	6.71	
000966	长源电力	-0.88	21021058	    64.79	         49.87亿	          0.42	火力发电	316	-0.21	4.51	4.54	4.57	4.49	
000993	闽东电力	0.67	23003320	    24.55	         33.50亿	          0.69	水力发电	215	0.11	8.98	8.93	9.03	8.90	
001896	豫能控股	-0.65	22524664	    55.90	         69.84亿	          0.43	火力发电	747	0.17	6.08	6.11	6.15	6.02	
002039	黔源电力	-1.58	35364196	    10.75	         49.47亿	          0.71	水力发电	66	0.06	16.21	16.50	16.50	16.17	
