代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000055	方大集团	-1.13	50758308	    17.20	         82.85亿	          1.07	其他建材	309	0.00	7.01	7.08	7.13	6.96	
000062	深圳华强	-1.50	43700900	    41.06	        175.64亿	          0.27	批发业	165	-0.28	24.42	24.78	24.78	24.11	
000670	盈方微	3.18	194030048	--  	         52.92亿	          4.98	元器件	4314	0.00	6.49	6.26	6.67	6.25	
000733	振华科技	-0.20	45542708	    30.79	         71.57亿	          0.64	元器件	181	0.07	15.26	15.29	15.37	15.17	
002005	德豪润达	-2.07	45270608	--  	         83.47亿	          0.82	家用电器	2719	0.00	4.74	4.84	4.84	4.72	
002023	海特高新	0.38	74842736	   137.73	         80.98亿	          1.07	航空	3661	-0.08	10.70	10.56	10.80	10.52	
002049	紫光国芯	3.58	1283731328	    77.87	        221.19亿	          5.87	元器件	3738	0.14	36.46	35.10	37.19	34.65	
002079	苏州固锝	2.04	115585400	    54.53	         58.24亿	          1.99	半导体	3258	0.13	8.01	7.84	8.18	7.73	
002119	康强电子	0.94	26296818	    53.37	         39.96亿	          0.67	半导体	172	0.00	19.39	19.25	19.49	19.15	
002156	通富微电	10.01	617411904	    70.72	        117.59亿	          5.39	半导体	9023	0.00	--  	10.92	12.09	10.83	
002180	纳思达	-2.20	49948980	--  	        296.42亿	          0.25	电脑设备	137	-0.02	29.30	30.10	30.35	29.25	
002185	华天科技	3.70	1246313856	    35.78	        184.98亿	          6.78	半导体	14138	0.23	8.69	8.39	8.83	8.27	
002191	劲嘉股份	0.96	149702080	    27.22	        158.00亿	          1.09	广告包装	265	-0.18	10.57	10.38	10.69	10.34	
002245	澳洋顺昌	-0.75	125841248	    26.63	         91.22亿	          1.49	仓储物流	1364	0.00	9.24	9.35	9.43	9.20	
002281	光迅科技	0.77	487039552	    49.31	        165.41亿	          3.00	通信设备	3073	0.15	26.31	25.91	26.76	25.91	
002371	北方华创	5.91	668734592	   164.08	        175.60亿	          5.09	半导体	1561	0.16	38.34	35.96	39.19	35.69	
002405	四维图新	0.11	1401983104	   163.05	        344.38亿	          5.06	软件服务	7091	0.07	26.85	26.61	27.58	26.51	
002409	雅克科技	9.98	4478112	   131.29	         87.88亿	          0.10	化工原料	11	0.00	--  	25.56	25.56	25.56	
002429	兆驰股份	-0.29	102447936	    23.52	        153.92亿	          0.76	家用电器	5275	0.30	3.41	3.40	3.42	3.37	
002436	兴森科技	0.89	60104840	    39.92	         84.51亿	          1.07	元器件	739	0.00	5.68	5.69	5.76	5.63	
002449	国星光电	-1.98	244102256	    28.65	         98.72亿	          2.89	半导体	1615	0.05	20.75	21.17	21.20	20.39	
002745	木林森	0.33	367326304	    46.30	        271.51亿	          4.37	半导体	769	-0.11	51.39	50.56	53.50	50.38	
300045	华力创通	0.48	40375760	   162.02	         60.50亿	          1.06	电脑设备	486	0.19	10.50	10.45	10.70	10.39	
300046	台基股份	6.78	143441424	    39.99	         28.42亿	          5.19	半导体	1534	-0.04	20.00	18.75	20.25	18.61	
300053	欧比特	2.19	406905120	    79.41	         96.16亿	          5.70	半导体	5188	-0.12	15.44	15.07	15.70	15.06	
300054	鼎龙股份	2.65	185616144	    31.91	         96.69亿	          2.80	化工原料	1458	-0.09	10.08	9.80	10.38	9.70	
300077	国民技术	1.68	218105552	   111.12	         74.87亿	          3.03	半导体	2437	0.23	13.30	13.07	13.48	12.99	
300101	振芯科技	0.22	61095512	   231.47	         74.45亿	          0.82	通信设备	510	-0.36	13.40	13.36	13.69	13.32	
300102	乾照光电	-1.28	79195608	    28.40	         59.96亿	          1.54	半导体	982	0.00	8.52	8.61	8.68	8.45	
300115	长盈精密	-3.91	391546912	    38.48	        277.09亿	          1.41	元器件	419	-0.06	30.68	31.79	31.95	30.42	
300139	晓程科技	-1.29	27496672	--  	         23.15亿	          1.53	元器件	380	0.00	8.45	8.59	8.59	8.39	
300183	东软载波	0.15	41484212	    35.54	         87.98亿	          0.81	软件服务	467	0.05	19.42	19.52	19.63	19.28	
300201	海伦哲	0.38	36841056	    81.05	         81.77亿	          0.54	专用机械	915	0.13	7.95	7.94	8.06	7.90	
300223	北京君正	1.71	309162624	   583.35	         53.51亿	          9.68	半导体	1380	-0.11	32.15	32.40	33.00	31.70	
300236	上海新阳	5.54	402055712	    96.75	         73.82亿	          6.08	半导体	1985	0.26	38.11	35.80	38.24	35.71	
300323	华灿光电	1.30	159929216	    34.49	        170.90亿	          1.15	半导体	1138	0.05	20.30	20.06	20.49	19.84	
