代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000655	金岭矿业	-2.90	43116256	    34.22	         43.82亿	          0.98	普钢	258	0.14	7.36	7.57	7.60	7.30	
000708	大冶特钢	-1.92	55449236	    14.22	         52.81亿	          1.04	特种钢	524	0.09	11.75	11.98	12.05	11.61	
000709	河钢股份	-2.15	298064864	    14.84	        434.30亿	          0.68	普钢	13445	0.00	4.10	4.15	4.16	4.06	
000717	韶钢松山	-3.02	509354272	     7.99	        186.55亿	          2.69	钢加工	5351	0.26	7.72	7.97	8.10	7.60	
000761	本钢板材	-2.62	87800808	     9.17	        163.07亿	          0.61	钢加工	1613	0.00	5.20	5.31	5.35	5.17	
000778	新兴铸管	-1.88	169106640	    21.22	        228.68亿	          0.81	钢加工	3901	0.17	5.73	5.83	5.87	5.68	
000825	太钢不锈	-3.04	388700864	    10.10	        290.51亿	          1.32	特种钢	7480	-0.19	5.10	5.24	5.30	5.04	
000890	法 尔 胜	-2.55	26760044	   104.14	         26.08亿	          1.01	钢加工	646	0.00	6.88	7.04	7.09	6.81	
000898	鞍钢股份	-1.58	175580672	    10.29	        383.08亿	          0.46	普钢	1174	0.16	6.24	6.34	6.34	6.15	
000932	*ST华菱	-4.99	354477696	     6.70	        229.79亿	          1.52	普钢	1715	0.00	7.62	8.05	8.05	7.62	
000959	首钢股份	-5.05	69507944	    13.96	        327.94亿	          0.37	普钢	4752	-0.15	6.20	6.49	6.54	6.18	
000969	安泰科技	0.11	49606944	   115.36	         93.67亿	          0.61	钢加工	451	0.11	9.13	9.08	9.19	9.00	
002075	沙钢股份	--  	0	    72.13	        355.73亿	          0.00	特种钢	0	--  	--  	--  	--  	--  	
002110	三钢闽光	--  	0	     6.51	        215.11亿	          0.00	普钢	0	--  	--  	--  	--  	--  	
002132	恒星科技	-3.78	46408420	    52.72	         70.37亿	          0.80	钢加工	1491	-0.35	5.62	5.78	5.80	5.59	
002318	久立特材	-1.60	36430096	    46.86	         67.49亿	          0.55	特种钢	1172	0.00	8.03	8.10	8.15	7.99	
002359	北讯集团	0.94	31180346	   124.46	        245.16亿	          0.20	钢加工	1010	0.67	22.55	22.34	22.55	22.13	
002423	中原特钢	--  	0	--  	         72.38亿	          0.00	特种钢	0	--  	--  	--  	--  	--  	
002443	金洲管道	-1.72	32484546	    31.27	         44.51亿	          0.75	钢加工	345	-0.11	8.57	8.68	8.75	8.51	
002478	常宝股份	0.19	17720258	    33.43	         42.49亿	          0.55	普钢	97	-0.18	5.32	5.31	5.39	5.27	
002487	大金重工	-0.18	11552151	   105.20	         29.65亿	          0.39	钢加工	541	0.00	5.50	5.50	5.53	5.45	
002541	鸿路钢构	-1.82	23036658	    23.27	         54.68亿	          0.59	钢加工	192	0.00	15.67	15.93	15.99	15.58	
002545	东方铁塔	-1.08	55866088	    67.09	        121.11亿	          1.67	钢加工	880	0.00	9.21	9.30	9.43	9.11	
002743	富煌钢构	-4.59	151285984	    64.03	         44.85亿	          5.44	钢加工	2418	0.00	13.31	13.84	14.10	13.28	
002756	永兴特钢	--  	0	    29.24	        101.52亿	          0.00	特种钢	0	--  	--  	--  	--  	--  	
002843	泰嘉股份	-3.45	291000352	    75.47	         40.70亿	         28.55	钢加工	1792	0.14	29.07	30.07	30.08	28.05	
300345	红宇新材	0.15	24495372	  7310.08	         28.77亿	          1.15	钢加工	691	-0.14	6.53	6.50	6.63	6.48	
000629	*ST钒钛	--  	0	--  	          0.00亿	          0.00	普钢	0	--  	--  	--  	--  	--  	
600010	包钢股份	-1.93	166964752	    61.74	       1157.86亿	          0.30	普钢	2009	0.00	2.54	2.59	2.60	2.52	
600019	宝钢股份	-0.13	810348032	    11.18	       1739.48亿	          0.47	普钢	84	-0.12	7.87	7.86	7.90	7.61	
600022	山东钢铁	-2.64	381122592	    16.91	        241.92亿	          1.61	普钢	83	0.00	2.22	2.27	2.28	2.19	
600117	西宁特钢	-2.73	96253592	--  	         55.81亿	          2.43	特种钢	7	0.19	5.34	5.47	5.49	5.22	
600126	杭钢股份	-0.14	33367136	    11.96	        189.64亿	          0.49	普钢	24	0.14	7.27	7.26	7.39	7.22	
600165	新日恒力	-0.48	24219448	--  	         98.83亿	          0.25	钢加工	100	0.21	14.43	14.45	14.48	14.33	
600231	凌钢股份	-4.30	256048112	    10.55	        140.07亿	          2.84	普钢	23	0.36	5.57	5.76	5.80	5.47	
600282	南钢股份	-3.68	288773440	     7.19	        196.20亿	          1.66	普钢	355	0.23	4.46	4.60	4.64	4.39	
600307	酒钢宏兴	-3.25	285641088	    21.06	        186.65亿	          1.52	普钢	10	-0.32	2.98	3.07	3.07	2.92	
600399	抚顺特钢	-1.55	46118904	    82.66	         74.36亿	          0.71	特种钢	10	0.35	5.72	5.83	5.84	5.64	
600477	杭萧钢构	-3.26	226849136	    21.15	        150.77亿	          1.63	钢加工	2	0.09	10.98	11.34	11.35	10.83	
600496	精工钢构	-2.36	114250600	    82.14	         68.73亿	          1.65	钢加工	174	-0.21	4.56	4.65	4.69	4.52	
600507	方大特钢	-2.29	257019056	     7.98	        163.91亿	          1.58	特种钢	16	-0.23	12.36	12.60	12.60	12.02	
600532	宏达矿业	-0.99	45912136	--  	         61.82亿	          0.97	普钢	1	0.34	11.98	12.12	12.25	11.81	
600558	大西洋	-7.42	236230032	   125.54	         56.01亿	          4.12	钢加工	171	0.48	6.23	6.74	6.81	6.16	
600569	安阳钢铁	-4.36	227261296	     7.67	         99.82亿	          2.25	普钢	82	-0.23	4.17	4.35	4.36	4.15	
600581	八一钢铁	-5.08	404025632	     7.82	         90.21亿	          4.41	普钢	35	0.09	11.78	12.39	12.47	11.61	
600608	*ST沪科	0.00	0	--  	         25.95亿	          0.00	普钢	0	0.00	--  	--  	--  	--  	
600782	新钢股份	-4.67	302595840	     7.75	        142.13亿	          2.10	钢加工	22	-0.19	5.10	5.35	5.40	5.02	
600784	鲁银投资	-0.83	20462068	   424.75	         34.09亿	          0.60	普钢	10	0.17	6.00	6.07	6.09	5.98	
600808	马钢股份	-3.13	302036576	     8.47	        239.90亿	          1.25	普钢	154	0.00	4.02	4.14	4.14	4.00	
600992	贵绳股份	-0.60	65341788	   198.41	         36.44亿	          1.80	钢加工	234	0.54	14.90	14.81	14.98	14.63	
601003	柳钢股份	0.00	0	    12.22	        204.51亿	          0.00	普钢	0	0.00	--  	--  	--  	--  	
601005	*ST重钢	0.00	0	--  	         83.80亿	          0.00	普钢	0	0.00	--  	--  	--  	--  	
601028	玉龙股份	-1.10	15213850	    72.11	         70.47亿	          0.22	钢加工	50	-0.10	9.01	9.07	9.10	8.96	
601969	海南矿业	-0.47	22590896	   481.25	        206.22亿	          0.25	普钢	11	0.00	10.55	10.57	10.76	10.50	
603028	赛福天	-0.81	13170034	    84.64	         27.14亿	          0.92	钢加工	1	-0.07	12.30	12.38	12.49	12.27	
603300	华铁科技	-1.71	82885352	    87.97	         44.22亿	          2.73	钢加工	40	0.18	10.92	10.92	11.03	10.80	
603577	汇金通	1.46	57046076	    67.88	         32.83亿	          7.05	钢加工	8	0.43	18.78	18.18	18.81	18.18	
603878	武进不锈	-1.68	27706592	    35.24	         43.63亿	          2.53	钢加工	2	0.33	21.60	21.95	21.95	21.52	
603278	大业股份	--  	0	--  	--  	--  	钢加工	0	--  	--  	--  	--  	--  	
603507	振江股份	--  	0	--  	          0.00亿	          0.00	钢加工	0	--  	--  	--  	--  	--  	
数据来源:通达信
