代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
000001	平安银行	-1.30	852032128	     7.66	       1955.71亿	          0.44	银行	5324	0.00	11.39	11.49	11.68	11.35	
002142	宁波银行	-1.69	374504128	     8.69	        853.24亿	          0.49	银行	1583	0.12	16.83	17.02	17.16	16.62	
002807	江阴银行	-3.08	148115840	    22.82	        155.88亿	          2.32	银行	1536	0.23	8.82	9.10	9.10	8.73	
002839	张家港行	-3.04	105607256	    29.53	        219.43亿	          4.78	银行	1480	0.00	12.15	12.44	12.47	12.08	
600000	浦发银行	0.40	411198272	     6.61	       3692.49亿	          0.12	银行	30	-0.07	12.58	12.53	12.60	12.43	
600015	华夏银行	0.22	344192736	     6.10	       1156.61亿	          0.30	银行	1	0.00	9.02	8.99	9.04	8.91	
600016	民生银行	0.36	904049344	     5.61	       2438.02亿	          0.37	银行	1875	-0.11	8.23	8.18	8.27	8.13	
600036	招商银行	0.19	1829746432	     8.70	       5582.19亿	          0.33	银行	203	-0.28	27.07	26.98	27.16	26.61	
600908	无锡银行	-2.56	116637536	    15.08	        155.06亿	          1.75	银行	10	0.12	8.40	8.59	8.59	8.35	
600919	江苏银行	-1.25	265865280	     7.46	        913.17亿	          0.58	银行	50	0.00	7.91	8.00	8.02	7.87	
600926	杭州银行	-1.07	112473616	     9.69	        473.81亿	          0.59	银行	30	0.00	12.94	13.07	13.08	12.86	
601009	南京银行	0.38	274337280	     6.76	        670.09亿	          0.43	银行	45	0.00	7.90	7.88	7.91	7.81	
601128	常熟银行	-2.76	164602800	    14.44	        172.04亿	          2.14	银行	18	0.00	7.74	7.95	7.95	7.69	
601166	兴业银行	-0.12	1659963136	     5.69	       3579.39亿	          0.51	银行	274	-0.16	17.22	17.22	17.29	17.04	
601169	北京银行	0.27	343019040	     6.51	       1346.70亿	          0.26	银行	78	-0.13	7.38	7.34	7.40	7.30	
601229	上海银行	-1.72	112538240	     8.61	       1337.91亿	          0.84	银行	24	-0.11	17.15	17.41	17.45	17.12	
601288	农业银行	0.00	1043007296	     5.66	      10938.86亿	          0.10	银行	458	-0.26	3.72	3.72	3.73	3.68	
601328	交通银行	0.32	736341824	     6.35	       2433.55亿	          0.30	银行	438	-0.15	6.20	6.17	6.22	6.14	
601398	工商银行	0.16	1273814400	     7.15	      16446.34亿	          0.08	银行	230	0.00	6.10	6.07	6.11	6.01	
601818	光大银行	0.00	545541376	     5.55	       1604.36亿	          0.34	银行	85	0.00	4.03	4.01	4.04	3.98	
601939	建设银行	-0.57	752742976	     6.55	        674.43亿	          1.12	银行	24	-0.13	7.02	7.04	7.05	6.94	
601988	中国银行	-0.26	907732544	     5.89	       8177.70亿	          0.11	银行	891	-0.25	3.88	3.88	3.89	3.84	
601997	贵阳银行	-1.56	210905856	     7.86	        334.22亿	          1.20	银行	38	0.00	14.55	14.75	14.82	14.47	
601998	中信银行	0.16	168196640	     6.48	       2087.43亿	          0.09	银行	26	-0.15	6.14	6.10	6.15	6.06	
603323	吴江银行	-2.04	55209468	    16.87	        139.16亿	          3.93	银行	12	-0.09	9.62	9.75	9.79	9.54	
数据来源:通达信
