代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
002236	大华股份	3.18	1340938496	24.02	23.28	0	567718	-0.07	23.25	24.36	22.67	--  	0.43	7.26	0.74	电器仪表	--  	0.000	
600804	鹏博士	-3.63	432136096	17.00	17.64	0	254897	0.12	17.65	17.65	16.43	--  	0.94	6.92	-0.64	电信运营	--  	0.000	
600594	益佰制药	-7.63	333312096	10.53	11.40	0	314787	-0.08	10.90	10.91	10.36	--  	0.53	4.82	-0.87	中成药	--  	-0.000	
603165	荣晟环保	8.82	283179648	57.84	53.15	0	50931	0.84	53.00	58.45	52.56	--  	0.38	11.08	4.69	造纸	--  	0.000	
600110	诺德股份	-2.38	256070976	9.42	9.65	0	272718	0.64	9.64	9.64	9.13	--  	0.37	5.28	-0.23	电气设备	--  	0.000	
002138	顺络电子	-0.93	236737888	17.03	17.19	0	139707	0.00	17.17	17.34	16.60	--  	1.16	4.30	-0.16	元器件	--  	0.000	
601881	中国银河	-0.37	229828624	10.85	10.89	0	212101	-0.08	10.81	11.02	10.63	--  	1.42	3.58	-0.04	证券	--  	0.000	
002007	华兰生物	-1.73	225530688	26.72	27.19	0	84082	0.11	27.13	27.23	26.51	--  	1.47	2.65	-0.47	生物制药	--  	-0.000	
002065	东华软件	-0.35	218807488	8.62	8.65	0	255716	0.70	8.63	8.65	8.47	--  	0.87	2.08	-0.03	软件服务	--  	-0.000	
600909	华安证券	0.54	218622112	7.46	7.42	0	292582	0.00	7.42	7.58	7.31	--  	0.81	3.64	0.04	证券	--  	0.000	
600109	国金证券	-0.70	208423680	9.87	9.94	0	211120	0.00	9.96	9.98	9.75	--  	0.50	2.31	-0.07	证券	--  	-0.000	
002210	飞马国际	-2.65	206060944	12.50	12.84	0	172300	1.05	13.00	13.00	11.56	--  	0.50	11.21	-0.34	仓储物流	--  	0.000	
600076	康欣新材	-0.26	198203760	7.71	7.73	0	257139	0.52	7.75	7.87	7.62	--  	0.00	3.23	-0.02	其他建材	--  	0.000	
603689	皖天然气	1.36	162692624	15.69	15.48	0	104316	0.06	15.20	16.08	14.80	--  	0.19	8.27	0.21	供气供热	--  	-0.000	
600565	迪马股份	-1.52	156990384	3.90	3.96	0	398350	-0.25	3.99	4.00	3.89	--  	2.52	2.78	-0.06	全国地产	--  	0.000	
01030	新城发展控股	5.24	123017520	4.220	4.010	2000	29351700	-0.47	4.050	4.290	4.010	--  	0.00	6.98	0.210		--  	4.220	
300214	日科化学	-4.88	122535480	5.26	5.53	0	233330	0.00	5.35	5.35	5.16	--  	0.86	3.44	-0.27	化工原料	--  	0.000	
002665	首航节能	-0.14	122478256	7.06	7.07	0	175243	0.57	7.08	7.08	6.90	--  	0.17	2.55	-0.01	电气设备	--  	-0.000	
002252	上海莱士	-0.35	120781840	19.65	19.72	0	61494	0.05	19.70	19.75	19.50	--  	0.15	1.27	-0.07	生物制药	--  	-0.000	
600704	物产中大	-0.71	117962128	7.02	7.07	0	167696	0.00	7.05	7.09	6.98	--  	4.71	1.56	-0.05	商贸代理	--  	-0.000	
600651	飞乐音响	-2.06	112815784	9.49	9.69	0	118581	-0.20	9.70	9.75	9.38	--  	1.10	3.82	-0.20	电器仪表	--  	-0.000	
603305	旭升股份	-2.55	108908960	37.45	38.43	0	29365	0.00	38.13	38.28	35.60	--  	0.00	6.97	-0.98	汽车配件	--  	0.000	
300058	蓝色光标	-1.78	86613480	6.06	6.17	0	142910	0.00	6.17	6.17	5.98	--  	1.03	3.08	-0.11	广告包装	--  	-0.000	
000400	许继电气	0.69	85337472	13.15	13.06	0	64881	0.31	13.13	13.27	13.03	--  	0.77	1.84	0.09	电气设备	--  	-0.000	
601163	三角轮胎	-1.80	82411504	20.22	20.59	0	40778	-0.04	20.59	20.59	19.98	--  	1.94	2.96	-0.37	汽车配件	--  	-0.000	
002372	伟星新材	1.05	76152080	17.29	17.11	0	44334	-0.05	17.11	17.39	17.01	--  	2.70	2.22	0.18	其他建材	--  	0.000	
002247	帝龙文化	-2.21	74743776	12.81	13.10	0	58372	-0.07	13.19	13.19	12.58	--  	0.76	4.66	-0.29	装修装饰	--  	0.000	
600155	宝硕股份	-2.37	74732984	10.31	10.56	0	72147	-0.18	10.55	10.55	10.16	--  	0.07	3.69	-0.25	证券	--  	0.000	
002029	七 匹 狼	-1.65	74304144	8.33	8.47	0	89671	0.00	8.44	8.47	8.17	--  	1.18	3.54	-0.14	服饰	--  	-0.000	
600863	内蒙华电	3.10	73994040	2.99	2.90	0	252135	1.01	2.90	3.03	2.85	--  	0.79	6.21	0.09	火力发电	--  	0.000	
002276	万马股份	-1.79	73055144	8.76	8.92	0	83429	-0.10	8.93	8.96	8.61	--  	1.12	3.92	-0.16	电气设备	--  	0.000	
603488	展鹏科技	-2.35	72501480	17.00	17.41	0	43292	0.59	17.30	17.35	16.22	--  	0.00	6.49	-0.41	电气设备	--  	0.000	
300079	数码科技	-4.55	71653184	4.41	4.62	0	160928	-0.44	4.62	4.62	4.32	--  	0.65	6.49	-0.21	通信设备	--  	-0.000	
002876	三利谱	5.59	69027880	61.54	58.28	0	11354	0.10	58.60	61.59	57.88	--  	0.00	6.37	3.26	元器件	--  	0.000	
600391	航发科技	-1.85	68933696	20.69	21.08	0	33275	-0.04	21.03	21.16	20.30	--  	0.14	4.08	-0.39	航空	--  	0.000	
300343	联创互联	0.81	66780624	12.38	12.28	0	54432	-0.15	12.21	12.54	11.95	--  	0.81	4.80	0.10	互联网	--  	0.000	
000018	神州长城	-1.41	65947284	6.30	6.39	0	104314	-0.46	6.40	6.42	6.26	--  	0.94	2.50	-0.09	装修装饰	--  	0.000	
002491	通鼎互联	0.25	63493436	11.81	11.78	0	54045	0.00	11.78	12.04	11.45	--  	0.42	5.01	0.03	通信设备	--  	0.000	
