代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
300355	蒙草生态	2.83	1327904000	13.80	13.42	0	967734	0.00	13.64	13.92	13.47	--  	0.28	3.35	0.38	环境保护	--  	0.000	
600667	太极实业	3.54	1201733632	8.48	8.19	0	1407365	0.47	8.10	8.85	8.07	--  	0.49	9.52	0.29	半导体	--  	-0.000	
002027	分众传媒	2.36	985743040	13.00	12.70	0	764617	0.70	12.60	13.13	12.47	--  	2.29	5.20	0.30	影视音像	--  	0.000	
000670	盈方微	4.63	935100736	7.45	7.12	0	1269171	0.13	7.08	7.80	6.97	--  	0.00	11.66	0.33	元器件	--  	-0.000	
002024	苏宁云商	1.23	912225472	12.36	12.21	0	735856	0.00	12.18	12.63	12.17	--  	0.57	3.77	0.15	电器连锁	--  	-0.000	
300223	北京君正	6.41	904701312	39.15	36.79	0	228762	0.64	37.17	40.47	36.85	--  	0.08	9.84	2.36	半导体	--  	0.000	
600360	华微电子	1.40	683420992	8.67	8.55	0	773386	0.00	8.55	9.12	8.50	--  	0.23	7.25	0.12	半导体	--  	0.000	
601231	环旭电子	9.94	666860160	15.27	13.89	0	444578	0.20	13.90	15.28	13.90	--  	0.85	9.94	1.38	元器件	--  	0.000	
002714	牧原股份	5.21	535408448	53.07	50.44	0	102724	0.32	50.72	53.22	50.71	--  	1.37	4.98	2.63	农业综合	--  	-0.000	
000519	中兵红箭	5.53	530604160	9.35	8.86	0	573461	0.32	9.10	9.67	8.98	--  	0.00	7.79	0.49	矿物制品	--  	0.000	
300377	赢时胜	4.99	520322336	12.63	12.03	0	411966	-0.23	12.30	12.93	12.08	--  	1.00	7.07	0.60	软件服务	--  	0.000	
601611	中国核建	0.77	495268512	10.53	10.45	0	474568	0.10	10.46	10.79	10.14	--  	0.67	6.22	0.08	建筑施工	--  	-0.000	
600919	江苏银行	0.77	485981184	7.90	7.84	0	617117	0.25	7.88	7.92	7.83	--  	2.27	1.15	0.06	银行	--  	0.000	
01044	恒安国际	2.97	451994656	79.800	77.500	500	5634104	0.13	79.100	82.900	78.650	--  	1.37	5.48	2.300	纺织服饰	--  	79.800	
300678	中科信息	10.00	424461824	58.97	53.61	0	73454	0.00	53.50	58.97	53.50	--  	0.00	10.20	5.36	软件服务	--  	0.000	
300168	万达信息	4.02	417671776	13.21	12.70	0	317609	-0.07	12.69	13.50	12.61	--  	0.24	7.01	0.51	软件服务	--  	0.000	
00119	保利置业集团	13.54	389349856	4.360	3.840	1000	93007880	0.23	4.000	4.450	3.930	--  	0.00	13.54	0.520	地产	--  	4.370	
00494	利丰	8.45	387603968	3.850	3.550	2000	100271000	-0.26	3.780	3.970	3.770	--  	2.86	5.63	0.300	纺织服饰	--  	3.840	
300373	扬杰科技	0.95	375064288	27.50	27.24	0	134410	0.11	27.30	28.48	27.30	--  	0.44	4.33	0.26	半导体	--  	0.000	
002278	神开股份	2.12	370050688	14.96	14.65	0	250827	0.13	14.75	14.98	14.50	--  	0.59	3.28	0.31	化工机械	--  	0.000	
300053	欧比特	1.77	366083744	14.40	14.15	0	251864	-0.13	14.20	14.78	14.11	--  	0.11	4.73	0.25	半导体	--  	-0.000	
002555	三七互娱	5.15	365880576	21.24	20.20	0	173328	0.09	20.43	21.58	20.21	--  	0.48	6.78	1.04	互联网	--  	-0.000	
