代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
601668	中国建筑	1.51	1617107200	9.39	9.25	0	1729108	0.00	9.26	9.41	9.24	--  	2.32	1.84	0.14	建筑施工	--  	0.000	
600260	凯乐科技	-7.91	794414400	29.46	31.99	0	265028	0.07	31.90	31.90	28.95	--  	0.15	9.22	-2.53	通信设备	--  	-0.000	
601390	中国中铁	2.45	448821632	8.78	8.57	0	515149	0.11	8.57	8.81	8.55	--  	1.03	3.03	0.21	建筑施工	--  	-0.000	
00285	比亚迪电子	-4.37	387163328	23.000	24.050	500	16809234	0.22	24.400	24.400	22.500	--  	0.00	7.90	-1.050	信息器材	--  	23.000	
601555	东吴证券	2.12	342690208	11.54	11.30	0	299693	0.35	11.31	11.56	11.28	--  	1.33	2.48	0.24	证券	--  	-0.000	
000166	申万宏源	1.57	259928960	5.82	5.73	0	449589	0.00	5.73	5.84	5.71	--  	1.75	2.27	0.09	证券	--  	0.000	
603026	石大胜华	-4.81	177309184	27.14	28.51	0	65509	1.46	28.01	28.01	26.59	--  	2.10	4.98	-1.37	化工原料	--  	-0.000	
002122	天马股份	2.25	165357424	10.46	10.23	0	161560	-0.09	10.20	10.53	9.75	--  	0.49	7.62	0.23	机械基件	--  	0.000	
600926	杭州银行	-1.97	150159872	12.97	13.23	0	115102	-0.14	13.15	13.18	12.97	--  	1.62	1.59	-0.26	银行	--  	0.000	
000593	大通燃气	-9.36	149507168	10.75	11.86	0	136113	0.47	11.86	11.94	10.67	--  	0.13	10.71	-1.11	供气供热	--  	0.000	
08207	中新控股	-0.99	132802400	1.000	1.010	4000	132531792	-0.99	1.010	1.020	1.000	129280	0.00	1.98	-0.010	其他金融	128000	1.000	
002248	*ST东数	-4.75	84408176	6.22	6.53	0	134079	0.00	6.42	6.46	6.20	--  	0.64	3.98	-0.31	机床制造	--  	-0.000	
002734	利民股份	-2.74	74618440	26.30	27.04	0	28213	-0.18	26.81	26.86	26.08	--  	1.29	2.88	-0.74	农药化肥	--  	-0.000	
603639	海利尔	-1.87	71696832	49.82	50.77	0	14506	0.63	50.76	50.80	46.03	--  	0.39	9.40	-0.95	农药化肥	--  	-0.000	
000620	新华联	-1.94	68132584	6.58	6.71	0	103752	0.15	6.72	6.75	6.49	--  	1.49	3.87	-0.13	全国地产	--  	-0.000	
603558	健盛集团	-1.98	57251528	15.33	15.64	0	38038	0.20	15.30	15.40	14.75	--  	0.59	4.16	-0.31	纺织	--  	-0.000	
002205	国统股份	-3.06	56098772	24.05	24.81	0	23194	0.08	24.61	24.61	23.90	--  	0.73	2.86	-0.76	其他建材	--  	-0.000	
002598	山东章鼓	-2.41	31800076	11.35	11.63	0	27854	-0.08	11.60	11.65	11.03	--  	1.72	5.33	-0.28	机械基件	--  	0.000	
600844	*ST丹科	-4.31	24085794	6.22	6.50	0	37810	-2.04	6.51	6.51	6.19	--  	0.00	4.92	-0.28	化工原料	--  	-0.000	
01086	好孩子国际	-2.86	23956596	4.080	4.200	1000	5784000	0.00	4.200	4.200	4.070	66740	0.00	3.10	-0.120	家电及用品	16000	4.080	
00798	中电光谷	-3.95	18808600	0.730	0.760	4000	25436000	-1.35	0.750	0.760	0.720	93800	0.00	5.26	-0.030	地产	128000	0.730	
00309	新华通讯频媒	-4.62	14789096	0.310	0.325	1000	45750000	-1.59	0.325	0.360	0.295	--  	0.00	20.00	-0.015	支援服务	--  	0.310	
00648	中国华仁医疗	22.22	12494746	0.022	0.018	2500	632408768	4.76	0.017	0.022	0.017	--  	0.00	27.78	0.004	医药医疗	--  	0.022	
03833	新疆新鑫矿业	-4.46	10537821	1.070	1.120	1000	9696000	0.00	1.120	1.140	1.060	--  	0.00	7.14	-0.050	一般金属	--  	1.070	
数据来源:通达信
