代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
00700	腾讯控股	3.71	9916950528	391.000	377.000	100	25585700	0.62	380.400	391.000	380.200	--  	0.00	2.86	14.000	软件服务	--  	391.000	
601318	中国平安	2.12	7697028096	65.37	64.01	0	1173566	0.41	64.30	66.57	64.30	--  	0.78	3.55	1.36	保险	--  	0.000	
000839	中信国安	10.03	5879613440	12.51	11.37	0	4867161	0.00	11.78	12.51	11.61	--  	0.44	7.92	1.14	综合类	--  	0.000	
600050	中国联通	5.28	5243172864	7.97	7.57	0	6699688	0.38	7.59	7.98	7.57	--  	0.53	5.42	0.40	电信运营	--  	-0.000	
03333	中国恒大	9.38	3079625728	30.900	28.250	1000	101160112	0.00	30.000	31.600	29.050	--  	0.00	9.03	2.650	地产	--  	30.900	
000100	TCL 集团	2.56	2979201536	4.80	4.68	0	6184988	0.63	4.71	4.95	4.68	--  	1.71	5.77	0.12	家用电器	--  	0.000	
000001	平安银行	5.67	2914269184	11.92	11.28	0	2477163	0.00	11.27	12.09	11.25	--  	1.40	7.45	0.64	银行	--  	0.000	
002405	四维图新	6.58	2819405824	29.49	27.67	0	1000547	0.65	27.50	29.58	27.07	--  	0.13	9.07	1.82	软件服务	--  	-0.000	
00388	香港交易所	1.96	2722067712	228.400	224.000	100	11964133	0.26	223.800	229.800	223.200	--  	1.12	2.95	4.400	其他金融	--  	228.400	
000333	美的集团	0.11	2551838720	52.75	52.69	0	483279	0.34	52.70	54.08	51.90	--  	1.88	4.14	0.06	家用电器	--  	0.000	
603019	中科曙光	10.00	2421144320	48.71	44.28	0	508302	0.00	45.00	48.71	44.92	--  	0.18	8.56	4.43	电脑设备	--  	-0.000	
00857	中国石油股份	2.57	2373402624	5.580	5.440	2000	425450848	-0.53	5.510	5.620	5.500	--  	1.43	2.21	0.140	石油天然气	--  	5.580	
600028	中国石化	1.45	2182347520	6.29	6.20	0	3453363	0.48	6.25	6.40	6.23	--  	1.61	2.74	0.09	石油加工	--  	-0.000	
600807	天业股份	10.04	2157550080	13.15	11.95	0	1669041	0.00	12.35	13.15	12.25	--  	0.00	7.53	1.20	区域地产	--  	-0.000	
002049	紫光国芯	7.46	1921229696	39.45	36.71	0	502617	0.05	36.51	39.89	36.13	--  	0.15	10.24	2.74	元器件	--  	0.000	
600030	中信证券	2.28	1861354240	17.52	17.13	0	1069099	0.06	17.21	17.58	17.15	--  	2.04	2.51	0.39	证券	--  	0.000	
601688	华泰证券	4.47	1784590336	20.09	19.23	0	901711	0.20	19.20	20.10	19.19	--  	2.60	4.73	0.86	证券	--  	0.000	
600104	上汽集团	1.42	1733622272	31.36	30.92	0	550422	0.06	30.95	32.18	30.94	--  	5.34	4.01	0.44	汽车整车	--  	0.000	
600019	宝钢股份	1.36	1707778048	8.22	8.11	0	2055879	-0.11	8.09	8.45	8.06	--  	2.59	4.81	0.11	普钢	--  	0.000	
600585	海螺水泥	0.40	1683213312	25.24	25.14	0	661863	0.28	25.19	25.83	25.06	--  	1.99	3.06	0.10	水泥	--  	-0.000	
002019	亿帆医药	4.08	1607995776	25.00	24.02	0	650491	0.44	24.50	25.10	24.28	--  	0.38	3.41	0.98	化学制药	--  	0.000	
600518	康美药业	0.53	1464670720	22.65	22.53	0	645523	1.21	22.53	23.28	22.21	--  	0.91	4.75	0.12	中成药	--  	-0.000	
600380	健康元	8.41	1447698176	13.15	12.13	0	1132841	0.38	12.16	13.26	12.08	--  	1.32	9.73	1.02	化学制药	--  	-0.000	
00386	中国石油化工股份	3.66	1437814400	5.940	5.730	2000	242691120	-0.17	5.840	5.960	5.820	--  	1.94	2.44	0.210	石油天然气	--  	5.940	
601012	隆基股份	2.20	1407435520	34.86	34.11	0	405571	0.14	34.29	35.55	33.90	--  	0.29	4.84	0.75	半导体	--  	0.000	
000717	韶钢松山	5.88	1362902144	8.65	8.17	0	1595106	-0.11	8.10	8.98	8.05	--  	0.42	11.38	0.48	钢加工	--  	-0.000	
002456	欧菲光	4.18	1229182080	23.70	22.75	0	527582	-0.07	22.78	23.79	22.75	--  	0.19	4.57	0.95	元器件	--  	0.000	
600581	八一钢铁	8.65	1225820672	14.07	12.95	0	889738	-0.27	13.00	14.25	13.00	--  	0.12	9.65	1.12	普钢	--  	-0.000	
601336	新华保险	1.49	1192510208	62.47	61.55	0	189577	0.32	61.36	63.95	61.05	--  	0.78	4.71	0.92	保险	--  	0.000	
000917	电广传媒	10.03	1174684032	11.41	10.37	0	1063781	0.00	10.70	11.41	10.55	--  	0.29	8.29	1.04	影视音像	--  	-0.000	
601601	中国太保	3.24	1132104832	43.69	42.32	0	260404	0.21	42.35	44.10	42.14	--  	1.65	4.63	1.37	保险	--  	-0.000	
600741	华域汽车	3.30	1099385984	25.33	24.52	0	428625	0.16	24.52	26.70	24.47	--  	4.08	9.09	0.81	汽车配件	--  	-0.000	
02822	南方Ａ５０	1.59	1015158656	15.300	15.060	200	66566608	0.13	15.100	15.300	15.100	345790240	0.00	1.33	0.240		22663400	15.300	
