代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
300355	蒙草生态	-2.72	1420652160	12.15	12.49	0	1175855	0.00	12.49	12.50	11.88	--  	0.30	4.96	-0.34	环境保护	--  	-0.000	
300167	迪威视讯	-4.88	370660096	11.69	12.29	0	322577	0.26	11.65	12.25	11.21	--  	0.81	8.46	-0.60	通信设备	--  	-0.000	
300280	南通锻压	-1.79	283660448	31.90	32.48	0	85894	0.69	35.73	35.73	30.35	--  	0.03	16.56	-0.58	专用机械	--  	-0.000	
300298	三诺生物	-3.49	168786288	22.40	23.21	0	75582	0.27	23.16	23.16	21.83	--  	1.29	5.73	-0.81	医疗保健	--  	-0.000	
01913	普拉达	2.49	151693696	26.750	26.100	100	5860666	2.88	25.900	26.900	25.500	14411851	0.00	5.36	0.650	纺织服饰	553500	26.750	
002567	唐人神	-1.52	83696472	7.75	7.87	0	107715	0.26	7.87	7.90	7.67	--  	1.22	2.92	-0.12	饲料	--  	0.000	
000530	大冷股份	-0.31	64009348	6.42	6.44	0	100752	0.31	6.45	6.45	6.29	--  	1.11	2.48	-0.02	机械基件	--  	0.000	
300370	安控科技	3.98	60861772	4.44	4.27	0	136326	0.23	4.27	4.63	4.24	--  	0.44	9.13	0.17	电器仪表	--  	0.000	
300453	三鑫医疗	-3.95	59608000	19.43	20.23	0	30427	-0.04	20.13	20.19	19.30	--  	0.49	4.40	-0.80	医疗保健	--  	0.000	
03377	远洋集团	-0.20	54091660	4.980	4.990	500	10897961	0.20	4.990	5.030	4.930	--  	3.29	2.00	-0.010	地产	--  	4.980	
300119	瑞普生物	-1.55	53855000	12.05	12.24	0	44577	-0.40	12.25	12.28	11.99	--  	1.23	2.37	-0.19	生物制药	--  	0.000	
002187	广百股份	-0.18	24616580	11.21	11.23	0	22007	-0.08	11.23	11.27	11.11	--  	2.67	1.42	-0.02	百货	--  	0.000	
300478	杭州高新	2.99	23089420	42.40	41.17	0	5491	0.24	41.17	42.50	41.00	--  	0.36	3.64	1.23	橡胶	--  	0.000	
00164	中国宝力科技	-25.76	20958200	0.098	0.132	25000	213575008	-1.01	0.127	0.127	0.085	268850	0.00	31.82	-0.034	酒店及消闲	2650000	0.098	
00636	嘉里物流	-1.67	15154188	10.600	10.780	500	1420400	0.00	10.740	10.760	10.520	--  	0.75	2.23	-0.180	工用运输	--  	10.600	
00052	FAIRWOOD HOLD	0.16	14074388	30.700	30.650	500	459000	0.00	30.650	30.800	30.550	92050	3.52	0.82	0.050	酒店及消闲	3000	30.700	
00242	信德集团	0.62	12582126	3.240	3.220	2000	3888250	0.00	3.260	3.270	3.190	--  	1.85	2.48	0.020	综合企业	--  	3.240	
01520	华信金融投资	-4.63	11904121	1.030	1.080	6000	11436000	-0.96	1.070	1.070	1.020	--  	0.00	4.63	-0.050	纺织服饰	--  	1.030	
00500	先丰服务集团	-2.48	11582111	1.570	1.610	1000	7512000	1.29	1.560	1.600	1.500	--  	0.00	6.21	-0.040	工用运输	--  	1.570	
08078	ＨＭＶ数码中国	0.41	10803263	0.247	0.246	20000	43912920	0.00	0.246	0.248	0.245	--  	0.00	1.22	0.001	媒体及娱乐	--  	0.247	
00596	浪潮国际	-3.51	8800030	2.200	2.280	2000	4003000	0.00	2.260	2.280	2.160	--  	0.00	5.26	-0.080	软件服务	--  	2.200	
00704	和嘉资源	-1.21	5581015	0.245	0.248	10000	22619600	-0.41	0.247	0.250	0.240	--  	0.00	4.03	-0.003	煤炭	--  	0.245	
数据来源:通达信
