代码	名称	涨幅%%	现价	总金额	涨跌	最高	最低	今开	总量	涨速%%	强弱度%%	振幅%%	均价	收入同比%%	市净率	市现率	市销率	每股收益	每股净资	
000001	平安银行	-0.32	9.40	321952544	-0.03	9.43	9.36	9.41	342655	0.00	 -0.60	0.74	9.40	15.20	          0.91	-1.06	1.97	1.090㈢	         10.38	
000002	万 科Ａ	-0.69	20.20	344069856	-0.14	20.37	20.12	20.34	170261	0.00	 -0.98	1.23	20.21	47.06	          2.22	5.19	1.91	0.748㈢	          9.10	
000004	国农科技	-1.71	39.60	40041848	-0.69	40.68	39.53	40.10	10018	-0.02	 -2.00	2.85	39.97	144.75	         34.56	24.76	15.28	0.175㈢	          1.15	
000005	世纪星源	1.85	6.61	157581328	0.12	6.68	6.44	6.48	239219	0.00	  1.56	3.70	6.59	665.99	          5.46	-71.57	19.96	0.126㈢	          1.21	
000006	深振业Ａ	-0.46	8.59	85000176	-0.04	8.63	8.49	8.61	99337	0.11	 -0.75	1.62	8.56	-50.30	          2.67	7.65	10.12	0.085㈢	          3.22	
000007	全新好	--  	23.81	0	--  	--  	--  	--  	0	--  	 -0.29	0.00	23.81	-68.44	         14.32	-172.60	194.87	0.075㈢	          1.66	
000008	神州高铁	-0.80	8.63	58509816	-0.07	8.69	8.58	8.69	67957	0.11	 -1.09	1.26	8.61	32.00	          4.10	-243.71	24.07	0.040㈢	          2.11	
000009	中国宝安	1.53	9.98	518492512	0.15	10.05	9.72	9.80	522507	-0.10	  1.24	3.36	9.92	33.78	          4.73	840.60	5.12	0.098㈢	          2.11	
000010	美丽生态	0.43	6.97	64700964	0.03	7.00	6.86	6.89	93300	-0.14	  0.15	2.02	6.93	29.24	          2.60	-30.58	8.07	0.027㈢	          2.68	
000011	深物业A	-2.67	16.78	135226208	-0.46	17.26	16.70	17.26	80169	0.00	 -2.96	3.25	16.87	-16.72	          4.89	4.76	18.88	-0.012㈢	          3.43	
000012	南 玻Ａ	0.00	11.53	181881904	0.00	11.58	11.40	11.45	158092	0.00	 -0.29	1.56	11.50	21.29	          3.01	15.03	3.67	0.344㈢	          3.84	
000014	沙河股份	2.47	19.11	77307760	0.46	19.25	18.42	18.59	40662	0.05	  2.18	4.45	19.01	-23.48	          5.59	23.16	22.43	-0.087㈢	          3.42	
000016	深康佳Ａ	-0.22	4.48	49108936	-0.01	4.49	4.46	4.48	109694	-0.22	 -0.51	0.67	4.48	5.58	          3.92	-26.27	0.74	-0.018㈢	          1.14	
000017	深中华A	0.42	11.85	176518320	0.05	12.05	11.48	11.70	149233	-0.16	  0.14	4.83	11.83	-13.91	        471.88	-1144.66	54.47	0.004㈢	          0.03	
000018	神州长城	0.00	10.01	106973400	0.00	10.09	9.90	10.04	107001	0.00	 -0.29	1.90	10.00	10.87	         10.55	-10.08	5.26	0.179㈢	          0.95	
000019	深深宝Ａ	-1.63	15.66	157737456	-0.26	15.92	15.60	15.92	100433	-0.06	 -1.92	2.01	15.71	-9.28	          7.79	-5221.01	31.24	-0.061㈢	          2.01	
000020	深华发Ａ	1.72	21.31	26067564	0.36	21.39	20.80	20.80	12266	0.00	  1.43	2.82	21.25	17.34	         19.08	-84.91	13.21	0.016㈢	          1.12	
000021	深科技	1.13	9.85	90534056	0.11	9.86	9.62	9.67	92687	0.00	  0.84	2.46	9.77	-5.73	          2.70	255.71	1.37	0.206㈢	          3.65	
000022	深赤湾Ａ	0.22	18.43	32357290	0.04	18.48	18.17	18.36	17635	0.00	 -0.07	1.69	18.35	2.00	          2.58	20.73	8.38	0.663㈢	          7.15	
000023	深天地Ａ	1.21	29.99	35322012	0.36	30.01	29.41	29.75	11892	0.00	  0.93	2.02	29.70	8.02	         10.79	82.79	5.75	0.060㈢	          2.78	
000025	特 力Ａ	3.12	52.29	300749472	1.58	55.45	50.01	50.51	57710	0.00	  2.83	10.73	52.11	3.86	         17.38	450.04	64.57	0.088㈢	          3.01	
000026	飞亚达Ａ	1.92	14.36	61762772	0.27	14.37	14.00	14.07	43423	0.00	  1.63	2.63	14.22	-9.47	          2.66	21.65	2.82	0.247㈢	          5.41	
000027	深圳能源	-0.71	6.99	57591112	-0.05	7.03	6.96	7.01	82383	0.00	 -1.00	0.99	6.99	-0.59	          1.29	13.64	3.21	0.337㈢	          5.40	
000028	国药一致	0.44	71.33	48013576	0.31	71.84	70.82	71.36	6737	-0.16	  0.15	1.44	71.27	8.85	          4.26	57.62	1.43	1.688㈢	         16.73	
000029	深深房Ａ	--  	11.17	0	--  	--  	--  	--  	0	--  	 -0.29	0.00	11.17	8.47	          4.40	20.50	6.48	0.234㈢	          2.54	
000030	富奥股份	0.47	8.64	40083284	0.04	8.66	8.54	8.59	46576	0.11	  0.18	1.40	8.61	31.75	          2.23	35.36	2.69	0.401㈢	          3.88	
000031	中粮地产	-1.06	8.42	71256640	-0.09	8.50	8.41	8.48	84448	0.11	 -1.34	1.06	8.44	51.05	          2.77	4.21	1.47	0.042㈢	          3.04	
000032	深桑达Ａ	--  	15.71	0	--  	--  	--  	--  	0	--  	 -0.29	0.00	15.71	2.26	          4.64	-137.23	4.44	0.135㈢	          3.39	
000034	神州数码	-2.39	23.32	153016272	-0.57	23.90	23.12	23.79	65627	-0.04	 -2.67	3.26	23.32	7079.85	          5.92	15.77	0.64	0.570㈢	          3.94	
000035	中国天楹	-0.26	7.56	59254904	-0.02	7.58	7.45	7.58	78855	0.13	 -0.55	1.72	7.51	22.84	          4.72	107.06	16.56	0.109㈢	          1.60	
000036	华联控股	-0.47	8.51	58406368	-0.04	8.55	8.45	8.55	68666	0.11	 -0.75	1.17	8.51	-4.24	          3.88	4.14	66.79	0.420㈢	          2.19	
000037	*ST南电A	0.64	12.54	53935064	0.08	12.55	12.32	12.40	43341	0.88	  0.36	1.85	12.44	17.12	         13.22	56.33	6.26	-0.106㈢	          0.95	
000038	深大通	-0.51	40.82	42534420	-0.21	40.88	40.26	40.58	10482	0.00	 -0.80	1.51	40.58	300.98	          2.72	63.22	20.72	0.480㈢	         15.02	
000039	中集集团	0.12	17.04	158150832	0.02	17.22	16.66	16.93	93485	0.05	 -0.17	3.29	16.92	-22.73	          1.82	68.75	1.45	-0.090㈢	          9.36	
