代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
000725	京东方Ａ	3.22	12503155712	    25.87	       2234.06亿	          5.89	元器件	162730	0.00	6.42	6.18	6.45	6.02	6.22	0.20	6.42	  1.24	19959584	北京	
601318	中国平安	5.51	8269151232	    15.09	       7908.93亿	          1.07	保险	1249	0.39	73.10	68.80	73.11	68.75	69.20	3.81	73.01	  1.29	1163765	深圳	
002230	科大讯飞	6.95	7209084416	   416.19	        935.70亿	          9.14	软件服务	13813	-0.09	67.38	65.19	69.28	64.30	63.00	4.38	67.38	  1.17	1076630	安徽	
000063	中兴通讯	5.22	4316192768	    30.50	       1301.68亿	          3.44	通信设备	16371	-0.15	37.90	35.82	38.04	35.10	36.02	1.88	37.90	  1.12	1180641	深圳	
600519	贵州茅台	4.51	4299282944	    33.90	       9033.44亿	          0.48	白酒	1	0.27	718.97	686.01	719.96	686.01	688.08	31.03	719.11	  1.22	60716	贵州	
000651	格力电器	0.88	2977224960	    13.38	       2758.81亿	          1.10	家用电器	22042	0.22	45.87	45.10	45.86	44.50	45.46	0.40	45.86	  0.88	658314	广东	
600487	亨通光电	8.61	2967366400	    27.65	        615.98亿	          5.55	通信设备	3	-0.93	45.29	41.85	45.88	40.80	41.71	3.59	45.30	  1.46	688940	江苏	
600048	保利地产	6.72	2843133184	    12.29	       1355.42亿	          2.18	全国地产	184	0.53	11.44	10.72	11.44	10.69	10.71	0.72	11.43	  3.16	2553548	广东	
600887	伊利股份	4.19	2702607360	    28.26	       1860.17亿	          1.48	乳制品	48	0.16	30.59	29.37	30.65	29.30	29.37	1.23	30.60	  1.15	893485	内蒙	
000858	五 粮 液	1.87	2623626496	    31.15	       2892.53亿	          0.91	白酒	4674	-0.03	76.21	74.60	76.76	74.18	74.80	1.40	76.20	  1.20	344457	四川	
600309	万华化学	3.20	2582412800	    10.75	       1119.30亿	          2.45	化工原料	83	0.24	40.95	39.39	41.26	39.38	39.67	1.27	40.94	  1.04	635668	山东	
002415	海康威视	2.67	2495996160	    45.79	       3756.15亿	          0.86	电器仪表	5662	-0.55	40.76	39.32	41.00	38.92	39.64	1.06	40.70	  1.22	623535	浙江	
600516	方大炭素	-4.40	2279699712	    17.20	        462.94亿	          5.05	矿物制品	136	-0.11	25.87	26.90	27.00	25.75	27.07	-1.19	25.88	  0.95	868137	甘肃	
600050	中国联通	-0.75	2146394624	   137.41	       2403.60亿	          1.28	电信运营	78	-0.12	7.95	7.95	8.02	7.81	8.01	-0.06	7.95	  0.58	2711522	上海	
000333	美的集团	1.15	2128432512	    17.24	       3447.58亿	          0.64	家用电器	5796	-0.05	52.88	52.20	53.02	51.61	52.28	0.60	52.88	  1.05	406447	广东	
600585	海螺水泥	2.69	2104697984	    11.13	       1098.72亿	          1.93	水泥	12	-0.10	27.50	27.08	27.79	26.74	26.75	0.72	27.47	  1.12	773097	安徽	
603260	合盛硅业	-3.09	2086593280	    40.14	        517.11亿	         37.73	化工原料	61	0.35	77.27	77.00	82.55	76.10	79.64	-2.46	77.18	  2.55	264119	浙江	
000839	中信国安	-2.04	2046492800	   148.03	        489.19亿	          4.17	综合类	34129	-0.15	12.48	12.51	12.82	12.39	12.74	-0.26	12.48	  0.51	1632582	北京	
002409	雅克科技	-0.63	2011146496	   210.09	        140.63亿	         27.21	化工原料	7041	0.59	40.93	40.00	42.30	39.20	41.16	-0.26	40.90	  4.15	492929	江苏	
600807	天业股份	2.06	1978088960	   115.36	        144.81亿	         15.63	区域地产	138	0.74	16.38	15.50	16.58	15.24	16.04	0.33	16.37	  0.73	1230354	山东	
603019	中科曙光	2.04	1934741760	   318.66	        321.64亿	          5.98	电脑设备	15	0.14	50.05	49.30	51.38	49.30	49.02	1.00	50.02	  0.96	384295	天津	
