代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00001	长和	-0.93	321451872	95.500	96.400	500	3374201	-0.10	95.500	96.050	94.900	--  	0.77	1.19	-0.900	   1420	95.500	95.500	106271696.00	
00002	中电控股	-1.07	228491952	78.800	79.650	500	2897153	-0.32	79.050	79.500	78.600	--  	1.38	1.13	-0.850	   1376	78.800	78.800	20597800.00	
00003	香港中华煤气	-1.07	200960544	14.860	15.020	1000	13488931	-0.27	14.840	15.020	14.840	--  	0.81	1.20	-0.160	   1572	14.860	14.860	11702130.00	
00004	九龙仓集团	-0.48	170735392	62.250	62.550	1000	2747583	-0.24	62.100	62.650	61.650	--  	0.93	1.60	-0.300	    798	62.250	62.250	43982900.00	
00005	汇丰控股	-0.48	1060634560	62.850	63.150	400	16874600	-0.08	63.000	63.100	62.700	--  	2.59	0.63	-0.300	   3397	62.850	62.850	237498592.00	
00006	电能实业	-1.17	207880912	67.700	68.500	500	3066184	-0.15	68.500	68.500	67.650	--  	1.03	1.24	-0.800	   1077	67.650	67.700	13193600.00	
00008	电讯盈科	-0.64	56188832	4.670	4.700	1000	12025955	0.21	4.700	4.700	4.650	--  	4.33	1.06	-0.030	   1373	4.660	4.670	7958400.00	
00010	恒隆集团	-0.47	13328133	31.700	31.850	1000	423600	0.63	31.900	31.900	31.000	--  	1.92	2.83	-0.150	    221	31.650	31.700	18636900.00	
00011	恒生银行	-0.95	118129320	156.800	158.300	100	752931	-0.19	156.500	157.500	156.500	--  	1.79	0.63	-1.500	   1375	156.800	156.800	137724192.00	
00012	恒基地产	-1.10	66236380	44.750	45.250	1000	1481418	-0.11	45.200	45.200	44.550	--  	0.94	1.44	-0.500	    379	44.750	44.750	34740600.00	
00014	希慎兴业	-0.56	25756588	35.550	35.750	1000	726654	0.28	35.750	35.800	35.250	--  	3.07	1.54	-0.200	    381	35.350	35.550	8002100.00	
00016	新鸿基地产	-0.35	298273248	112.600	113.000	1000	2655513	0.27	111.900	113.000	111.600	--  	0.98	1.24	-0.400	    870	112.600	112.600	62100100.00	
00017	新世界发展	-1.79	186829728	9.900	10.080	1000	18922364	0.41	9.930	10.040	9.780	--  	1.31	2.58	-0.180	   1835	9.880	9.900	42038888.00	
00019	太古股份公司Ａ	-1.20	99606328	78.300	79.250	500	1270521	-0.32	78.700	78.750	78.050	--  	1.28	0.88	-0.950	    740	78.300	78.300	36563100.00	
00020	会德丰	-1.32	43217988	52.500	53.200	1000	823647	-0.10	52.950	52.950	52.050	--  	0.86	1.69	-0.700	    327	52.350	52.500	51048300.00	
00023	东亚银行	-0.62	39400624	31.800	32.000	200	1239762	0.00	32.000	32.100	31.650	--  	0.88	1.41	-0.200	   1563	31.800	31.800	76570600.00	
