代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
00700	腾讯控股	-2.37	7588814336	346.200	354.600	100	21617366	-0.63	356.200	356.400	345.600	--  	0.00	3.05	-8.400	软件服务	--  	346.200	
02318	中国平安	-2.19	5331453952	64.700	66.150	500	80352032	-0.54	66.700	67.600	64.650	--  	0.91	4.46	-1.450	保险	--  	64.700	
00175	吉利汽车	-7.45	2458533632	24.850	26.850	1000	96645096	-0.80	26.950	27.000	24.150	--  	0.00	10.61	-2.000	汽车	--  	24.850	
00388	香港交易所	-2.33	2282374656	217.600	222.800	100	10385871	-0.27	223.600	224.000	216.000	--  	1.17	3.59	-5.200	其他金融	--  	217.600	
01398	工商银行	-3.16	2195614976	6.130	6.330	1000	351507136	-0.81	6.330	6.370	6.120	--  	0.00	3.95	-0.200	银行	--  	6.130	
03333	中国恒大	-3.63	2160222208	29.200	30.300	1000	69737232	-1.52	30.500	32.000	29.200	--  	0.00	9.24	-1.100	地产	--  	29.200	
00939	建设银行	-2.73	2079765120	6.780	6.970	1000	302408992	-0.73	6.980	7.000	6.770	--  	0.00	3.30	-0.190	银行	--  	6.780	
02628	中国人寿	-2.42	2007902848	24.200	24.800	1000	81413808	-0.41	24.900	25.350	23.950	--  	0.00	5.65	-0.600	保险	--  	24.200	
00763	中兴通讯	-11.36	1769808512	26.150	29.500	200	64731336	-2.06	28.000	28.650	25.800	--  	0.00	9.66	-3.350	信息器材	--  	26.150	
00005	汇丰控股	-1.30	1706882560	76.000	77.000	400	22311060	-0.33	77.000	77.250	76.000	--  	1.02	1.62	-1.000	银行	--  	76.000	
03988	中国银行	-2.44	1467080448	3.990	4.090	1000	363078944	-0.75	4.100	4.110	3.990	--  	0.00	2.93	-0.100	银行	--  	3.990	
01299	友邦保险	-1.37	1334466176	61.100	61.950	200	21686490	0.08	62.200	62.250	60.850	--  	0.42	2.26	-0.850	保险	--  	61.100	
