代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
02800	盈富基金	-1.02	1935783680	29.100	29.400	500	66458236	0.17	29.350	29.350	29.050	830745856	0.00	1.02	-0.300		28501500	29.100	
02828	恒生Ｈ股	-1.62	1216399232	115.600	117.500	200	10506077	0.00	116.900	116.900	115.300	153641360	0.00	1.36	-1.900		1326200	115.600	
02822	南方Ａ５０	-0.52	1167688320	15.300	15.380	200	76128952	-0.13	15.380	15.440	15.300	223914864	0.00	0.91	-0.080		14587600	15.300	
03188	华夏沪深三百	-0.82	901342976	48.600	49.000	200	18467400	-0.21	48.700	49.150	48.600	347055136	0.00	1.12	-0.400		7113000	48.600	
02823	安硕Ａ５０	-0.54	518092224	14.820	14.900	100	34903096	0.14	14.860	14.940	14.800	21530294	0.00	0.94	-0.080		1448300	14.820	
00823	领展房产基金	-0.07	265855680	68.700	68.750	500	3876408	0.37	68.800	68.850	68.100	12128801	0.00	1.09	-0.050		177000	68.700	
07228	ＦＬ二　三星国指	-3.00	59451792	7.770	8.010	200	7624600	0.00	7.830	7.850	7.710	3504816	0.00	1.75	-0.240		451600	7.770	
00778	置富产业信托	-0.32	33388302	9.470	9.500	1000	3535100	0.21	9.450	9.550	9.410	814450	0.00	1.47	-0.030		86000	9.470	
07288	ＦＬ二南方国指	-2.92	32715996	9.310	9.590	100	3511700	0.22	9.550	9.550	9.230	7382207	0.00	3.34	-0.280		795600	9.310	
02833	恒指ＥＴＦ	-0.81	31391456	295.200	297.600	100	106033	0.00	296.400	296.800	295.000	--  	0.00	0.60	-2.400		--  	295.200	
02778	冠君产业信托	0.18	25603150	5.680	5.670	1000	4533700	0.53	5.670	5.680	5.600	2925930	0.00	1.41	0.010		517000	5.680	
00405	越秀房产信托基金	0.20	21261478	4.950	4.940	1000	4293086	0.00	4.950	4.970	4.940	827190	0.00	0.61	0.010		167000	4.950	
82822	南方Ａ５０　Ｒ	-0.61	20018310	13.020	13.100	200	1535590	-0.15	13.060	13.140	13.020	2915584	0.00	0.92	-0.080		223400	13.020	
83188	华夏沪深三百　Ｒ	-0.96	16135826	41.400	41.800	200	388708	-0.12	42.500	42.500	41.400	6181311	0.00	2.63	-0.400		149000	41.400	
07230	ＦＬ二未来国指	-2.91	14000172	9.680	9.970	100	1453900	0.31	9.700	9.700	9.600	2901703	0.00	1.00	-0.290		301400	9.680	
07200	ＦＬ二南方恒指	-1.44	6994159	10.980	11.140	100	637100	0.18	11.020	11.080	10.940	72204	0.00	1.26	-0.160		6600	10.980	
00808	泓富产业信托	0.00	6848786	3.290	3.290	1000	2085000	0.00	3.290	3.300	3.280	--  	0.00	0.61	0.000		--  	3.290	
03115	安硕恒生指数	-0.74	5870165	106.800	107.600	10	54850	0.00	107.100	107.300	106.800	--  	0.00	0.46	-0.800		--  	106.800	
02840	ＳＰＤＲ金ＥＴＦ	0.53	5492296	951.000	946.000	10	5780	0.11	950.000	951.000	949.000	--  	0.00	0.21	5.000		--  	951.000	
07300	ＦＩ南方恒指	0.89	4985246	5.690	5.640	100	878000	0.00	5.660	5.690	5.660	--  	0.00	0.53	0.050		--  	5.690	
87001	汇贤产业信托	0.00	4286366	3.040	3.040	1000	1410412	0.00	3.040	3.040	3.030	--  	0.00	0.33	0.000		--  	3.040	
02801	安硕中国ＥＴＦ	-1.58	4269714	27.950	28.400	200	152880	0.00	28.050	28.050	27.800	--  	0.00	0.88	-0.450		--  	27.950	
00435	阳光房地产基金	0.19	3942370	5.370	5.360	1000	736000	0.00	5.350	5.370	5.300	--  	0.00	1.31	0.010		--  	5.370	
03167	南方中国新行业	-1.25	3780000	75.050	76.000	50	50250	0.07	75.450	75.500	74.900	--  	0.00	0.79	-0.950		--  	75.050	
03087	ＸＤＢ富时越南	0.55	3646767	220.600	219.400	10	16621	0.09	222.000	222.000	217.400	--  	0.00	2.10	1.200		--  	220.600	
