代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
08065	高萌科技	45.00	297129472	0.870	0.600	5000	331350016	-2.25	0.990	1.020	0.810	--  	0.00	35.00	0.270	建筑	--  	0.870	
08480	飞霓控股	28.00	83758440	0.640	0.500	4000	131488000	0.00	0.600	0.720	0.580	--  	0.00	28.00	0.140	纺织服饰	--  	0.640	
08392	舍图控股	11.36	69410760	0.245	0.220	10000	278449984	-1.21	0.237	0.285	0.237	--  	0.00	21.82	0.025	家电及用品	--  	0.245	
08275	永勤集团控股	5.88	54017752	0.360	0.340	10000	154960000	1.41	0.310	0.385	0.310	--  	0.00	22.06	0.020	建筑	--  	0.360	
08227	海天天　控股	3.62	51558844	8.290	8.000	4000	6244000	0.00	8.040	8.400	7.970	--  	0.00	5.38	0.290	信息器材	--  	8.290	
08137	洪桥集团	6.47	47332344	1.810	1.700	2000	26618000	0.56	1.680	1.820	1.680	494000	0.00	8.24	0.110	工业工程	278000	1.810	
08292	盛良物流	20.17	44483236	2.800	2.330	10000	16363333	0.72	2.340	2.900	2.340	--  	0.00	24.03	0.470	工用运输	--  	2.800	
08158	中国再生医学	4.59	42059360	0.228	0.218	5000	196720000	1.79	0.213	0.232	0.204	314720	0.00	12.84	0.010	医药医疗	1455000	0.228	
08217	联旺集团	-7.69	23877452	0.420	0.455	10000	54810000	0.00	0.450	0.470	0.415	--  	0.00	12.09	-0.035	建筑	--  	0.420	
08331	飞尚非金属	-1.68	18158900	1.760	1.790	10000	10290000	-0.56	1.790	1.790	1.730	--  	0.00	3.35	-0.030	一般金属	--  	1.760	
08226	树熊金融集团	-2.41	17967480	0.405	0.415	4000	45452000	1.25	0.420	0.420	0.385	--  	0.00	8.43	-0.010	农业产品	--  	0.405	
08437	德斯控股	-16.18	17585680	0.570	0.680	8000	29528000	-1.72	0.630	0.640	0.550	--  	0.00	13.24	-0.110	医疗服务	--  	0.570	
08161	医汇集团	-24.49	14236091	0.148	0.196	10000	88760000	-0.67	0.198	0.198	0.147	--  	0.00	26.02	-0.048	医疗服务	--  	0.148	
08207	中新控股	0.00	13988601	1.050	1.050	4000	13388000	0.00	1.050	1.050	1.040	324480	0.00	0.95	0.000	其他金融	312000	1.050	
08193	汉华专业服务	19.05	13900551	0.050	0.042	5000	285995008	0.00	0.043	0.055	0.042	--  	0.00	30.95	0.008	其他金融	--  	0.050	
08308	古兜控股	-5.11	12267961	1.670	1.760	4000	7312000	0.60	1.740	1.760	1.660	--  	0.00	5.68	-0.090	酒店及消闲	--  	1.670	
08156	众彩股份	-2.22	11174201	0.880	0.900	5000	12750000	1.15	0.900	0.910	0.860	--  	0.00	5.56	-0.020	酒店及消闲	--  	0.880	
08355	超智能控股	11.27	10442600	0.395	0.355	10000	27090000	0.00	0.375	0.410	0.365	--  	0.00	12.68	0.040	软件服务	--  	0.395	
08416	HM INTL HLDGS	-4.35	9152800	1.320	1.380	5000	6895000	1.54	1.390	1.450	1.250	--  	0.00	14.49	-0.060	工用支援	--  	1.320	
08232	CLASSIFIED GP	14.72	8874350	2.260	1.970	5000	4460000	1.80	1.860	2.400	1.410	--  	0.00	50.25	0.290	酒店及消闲	--  	2.260	
08325	中国支付通	0.00	8472800	1.140	1.140	10000	7630000	0.88	1.150	1.160	1.080	--  	0.00	7.02	0.000	软件服务	--  	1.140	
08491	COOL LINK	-1.83	8388700	1.070	1.090	5000	7765000	0.94	1.110	1.120	1.030	--  	0.00	8.26	-0.020	食物饮品	--  	1.070	
08086	ＤＸ．ＣＯＭ控股	-6.44	8334329	0.189	0.202	8000	42800000	5.00	0.206	0.208	0.174	--  	0.00	16.83	-0.013	软件服务	--  	0.189	
08133	铸能控股	-3.51	8316401	0.275	0.285	20000	30220000	0.00	0.285	0.285	0.270	--  	0.00	5.26	-0.010	工业工程	--  	0.275	
08340	域高金融	10.78	8019701	1.130	1.020	10000	7130000	-0.88	1.040	1.200	1.030	--  	0.00	16.67	0.110	其他金融	--  	1.130	
08231	节能元件	1.56	8003151	0.325	0.320	10000	24260000	0.00	0.325	0.335	0.320	--  	0.00	4.69	0.005	半导体	--  	0.325	
08047	中国海洋捕捞	3.08	7753481	0.670	0.650	4000	11644000	-1.47	0.650	0.680	0.640	--  	0.00	6.15	0.020	工用支援	--  	0.670	
08237	华星控股	0.00	7552001	0.750	0.750	2000	10016000	0.00	0.760	0.760	0.740	--  	0.00	2.67	0.000	酒店及消闲	--  	0.750	
08383	东骏控股	5.13	7531641	0.410	0.390	8000	18856000	0.00	0.380	0.415	0.365	--  	0.00	12.82	0.020	工用支援	--  	0.410	
08055	中国网络信息科技	3.70	7377641	0.280	0.270	8000	25008000	0.00	0.280	0.310	0.280	--  	0.00	11.11	0.010	软件服务	--  	0.280	
08178	中国信息科技	6.67	7191873	0.160	0.150	24000	46257600	-1.84	0.150	0.165	0.150	--  	0.00	10.00	0.010	软件服务	--  	0.160	
08410	安领国际	-2.55	6980701	1.530	1.570	10000	4510000	0.00	1.590	1.590	1.480	--  	0.00	7.01	-0.040	软件服务	--  	1.530	
08143	华夏医疗	-14.35	6811573	0.185	0.216	4000	34012000	-2.63	0.225	0.232	0.182	--  	0.00	23.15	-0.031	医药医疗	--  	0.185	
08138	同仁堂国药	-1.12	6170681	10.640	10.760	1000	580000	0.19	10.880	10.900	10.520	21320	0.00	3.53	-0.120	医药医疗	2000	10.640	
08221	PF GROUP	-4.37	6002861	0.153	0.160	20000	39600000	1.32	0.160	0.164	0.148	--  	0.00	10.00	-0.007	其他金融	--  	0.153	
08283	正力控股	-13.25	5992751	1.310	1.510	5000	4425000	0.77	1.510	1.510	1.250	--  	0.00	17.22	-0.200	支援服务	--  	1.310	
08455	礼建德集团	6.67	5884151	0.400	0.375	10000	14730000	1.27	0.375	0.400	0.375	--  	0.00	6.67	0.025	建筑	--  	0.400	
08425	兴铭控股	-3.61	5682321	0.800	0.830	4000	6848000	2.56	0.820	0.850	0.750	--  	0.00	12.05	-0.030	建筑	--  	0.800	
08462	桥英控股	0.00	5324751	1.240	1.240	5000	4525000	3.33	1.160	1.250	1.120	--  	0.00	10.48	0.000	支援服务	--  	1.240	
08073	兴业新材料	0.79	5142080	1.280	1.270	4000	4068000	0.79	1.260	1.280	1.250	--  	0.00	2.36	0.010	工业工程	--  	1.280	
08279	亚博科技控股	-1.36	5110360	1.450	1.470	4000	3544000	0.69	1.470	1.480	1.420	70200	0.00	4.08	-0.020	酒店及消闲	48000	1.450	
08028	天时软件	26.00	4976020	0.063	0.050	20000	78360000	3.28	0.055	0.071	0.049	--  	0.00	44.00	0.013	黄金贵金属	--  	0.063	
08469	盛业资本	-0.21	4824600	4.800	4.810	2000	1020000	1.48	4.810	4.840	4.650	--  	0.00	3.95	-0.010	其他金融	--  	4.800	
08122	德莱建业	1.82	4601040	0.560	0.550	8000	8240000	0.00	0.550	0.580	0.530	--  	0.00	9.09	0.010	建筑	--  	0.560	
08142	德利机械	3.95	4278300	0.395	0.380	10000	11010000	0.00	0.375	0.395	0.375	--  	0.00	5.26	0.015	工业工程	--  	0.395	
08417	大地教育	0.85	4109200	1.180	1.170	10000	3510000	0.85	1.170	1.180	1.150	--  	0.00	2.56	0.010	支援服务	--  	1.180	
08420	NEXION TECH	7.27	3882100	0.590	0.550	5000	6740000	0.00	0.550	0.620	0.550	--  	0.00	12.73	0.040	软件服务	--  	0.590	
08141	应力控股	-2.82	3799400	0.690	0.710	10000	5430000	0.00	0.720	0.740	0.670	--  	0.00	9.86	-0.020	建筑	--  	0.690	
08293	星亚控股	-1.77	3773150	7.750	7.890	5000	495000	1.71	7.650	7.780	7.620	--  	0.00	2.03	-0.140	支援服务	--  	7.750	
08215	FIRST CREDIT	-2.99	3630840	0.130	0.134	20000	27640000	0.00	0.133	0.137	0.129	--  	0.00	5.97	-0.004	其他金融	--  	0.130	
08012	环宇物流（亚洲）	-6.76	3423760	1.380	1.480	8000	2432000	-2.13	1.500	1.510	1.340	--  	0.00	11.49	-0.100	工用运输	--  	1.380	
08130	智城控股	-0.50	3332032	0.200	0.201	20000	16661000	0.00	0.200	0.200	0.199	--  	0.00	0.50	-0.001	媒体及娱乐	--  	0.200	
08352	成安控股	4.52	3317600	6.480	6.200	10000	520000	0.00	6.230	6.480	6.230	--  	0.00	4.03	0.280	建筑	--  	6.480	
08102	利宝阁集团	-0.74	3234900	6.720	6.770	10000	480000	0.30	6.800	6.800	6.660	--  	0.00	2.07	-0.050	酒店及消闲	--  	6.720	
08465	高科桥	-1.34	3147260	3.670	3.720	2000	876000	-0.81	3.720	3.720	3.500	--  	0.00	5.91	-0.050	信息器材	--  	3.670	
08250	丝路能源	14.52	3129272	0.071	0.062	20000	42784000	0.00	0.065	0.083	0.062	--  	0.00	33.87	0.009	煤炭	--  	0.071	
08046	恒芯中国	5.13	3062228	0.041	0.039	4000	79100000	0.00	0.039	0.041	0.037	--  	0.00	10.26	0.002	媒体及娱乐	--  	0.041	
08192	环球能源资源	1.39	3055440	0.365	0.360	12000	8472000	0.00	0.360	0.365	0.360	--  	0.00	1.39	0.005	一般金属	--  	0.365	
08071	中彩网通控股	-1.96	2952329	0.250	0.255	5000	11604000	0.00	0.260	0.270	0.248	--  	0.00	8.63	-0.005	酒店及消闲	--  	0.250	
08083	中国创新支付	-1.05	2830520	0.470	0.475	4000	6008000	0.00	0.480	0.480	0.465	66480	0.00	3.16	-0.005	软件服务	140000	0.470	
