代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
601318	中国平安	1.89	8019893760	    14.35	       7516.79亿	          1.07	保险	22	-0.02	69.40	67.60	70.35	67.37	68.10	1.29	69.39	  0.99	1159283	深圳	
000725	京东方Ａ	4.09	7252843008	    22.57	       1948.71亿	          3.84	元器件	158583	0.00	5.60	5.42	5.71	5.42	5.38	0.22	5.60	  0.98	12986356	北京	
000063	中兴通讯	4.05	4026393856	    28.10	       1199.33亿	          3.40	通信设备	9640	-0.13	34.92	33.60	35.23	33.48	33.56	1.36	34.92	  0.92	1166012	深圳	
002230	科大讯飞	-1.40	3615470336	   418.66	        941.26亿	          4.54	软件服务	8479	0.28	67.79	68.95	68.95	66.36	68.74	-0.96	67.78	  0.80	535137	安徽	
600519	贵州茅台	2.48	3436687360	    30.07	       8011.90亿	          0.43	白酒	9	0.28	638.00	623.95	644.10	616.72	622.35	15.44	637.79	  1.02	54268	贵州	
600460	士兰微	-3.12	3104236032	    90.32	        162.63亿	         18.63	半导体	36	-0.07	13.06	14.05	14.05	12.77	13.46	-0.42	13.04	  1.59	2322895	浙江	
000651	格力电器	1.27	2950064384	    12.30	       2536.23亿	          1.17	家用电器	3606	-0.04	42.16	41.50	42.51	41.33	41.63	0.53	42.16	  1.13	700671	广东	
000858	五 粮 液	4.06	2731108352	    27.78	       2579.36亿	          1.07	白酒	2167	0.00	67.96	65.20	68.71	64.03	65.30	2.65	67.95	  1.67	406862	四川	
002129	中环股份	-3.83	2649487360	    46.18	        278.97亿	          9.22	半导体	28628	0.19	10.55	10.76	11.25	10.44	10.97	-0.42	10.55	  2.75	2439008	天津	
600030	中信证券	0.00	2355696896	    21.71	       1863.43亿	          1.27	证券	141	0.11	18.96	18.80	19.06	18.67	18.94	0.00	18.94	  0.68	1251035	深圳	
002049	紫光国芯	-4.00	2291705600	   103.18	        293.09亿	          7.82	元器件	7697	-0.30	48.31	49.27	50.25	47.50	50.31	-2.01	48.30	  0.79	471435	河北	
600516	方大炭素	0.16	1958046592	    16.62	        447.56亿	          4.50	矿物制品	47	0.12	25.02	25.10	25.86	24.90	24.98	0.04	25.02	  0.93	773319	甘肃	
000001	平安银行	2.31	1923315712	     8.94	       2283.66亿	          0.86	银行	15814	0.15	13.30	13.05	13.37	13.00	13.00	0.30	13.30	  0.85	1454024	深圳	
300059	东方财富	-0.91	1705739776	    99.05	        604.29亿	          3.79	互联网	21123	-0.06	14.09	14.04	14.35	13.95	14.22	-0.13	14.09	  1.00	1208211	上海	
600887	伊利股份	2.96	1642700416	    27.33	       1799.23亿	          0.93	乳制品	31	0.00	29.62	28.50	29.88	28.35	28.75	0.85	29.60	  0.89	559426	内蒙	
601012	隆基股份	3.76	1594872704	    23.20	        693.17亿	          2.37	半导体	900	0.03	34.75	33.86	35.30	32.87	33.47	1.26	34.73	  1.10	466936	陕西	
600522	中天科技	2.71	1582381312	    24.87	        477.08亿	          4.51	通信设备	60	-0.18	15.57	15.05	15.65	15.05	15.15	0.41	15.56	  1.21	1025919	江苏	
600048	保利地产	0.55	1560872960	    13.79	       1520.25亿	          1.06	全国地产	951	0.39	12.83	12.70	12.85	12.33	12.75	0.07	12.82	  0.68	1238808	广东	
000333	美的集团	1.82	1544572416	    16.79	       3357.61亿	          0.48	家用电器	4224	0.12	51.50	50.71	52.06	50.32	50.58	0.92	51.50	  0.87	300629	广东	
603799	华友钴业	1.24	1498077696	    35.33	        517.23亿	          6.33	小金属	10	0.29	87.27	85.40	89.12	84.91	86.20	1.07	87.27	  1.01	171836	浙江	
600050	中国联通	1.14	1461227008	   123.06	       2152.66亿	          0.97	电信运营	30	0.14	7.12	7.04	7.19	7.03	7.04	0.08	7.12	  0.62	2055640	上海	
600352	浙江龙盛	4.10	1456067840	    14.88	        371.53亿	          4.19	染料涂料	239	0.35	11.43	10.90	11.56	10.87	10.97	0.45	11.42	  2.56	1283116	浙江	
601766	中国中车	-0.77	1425462656	    36.48	       2807.43亿	          0.54	运输设备	726	0.09	11.55	11.50	11.57	11.30	11.63	-0.09	11.54	  0.60	1244121	北京	
002001	新 和 成	-5.93	1410894976	    31.51	        378.51亿	          3.62	化学制药	6200	-0.62	34.77	36.31	37.98	34.70	36.95	-2.19	34.76	  1.08	388387	浙江	
601601	中国太保	3.92	1408968704	    26.41	       2669.33亿	          0.53	保险	150	-0.27	42.52	40.85	43.12	40.75	40.86	1.60	42.46	  1.28	334653	上海	
600585	海螺水泥	1.33	1407813632	    12.63	       1246.31亿	          1.15	水泥	179	0.58	31.18	30.60	31.19	30.31	30.75	0.41	31.16	  0.61	458503	安徽	
002110	三钢闽光	-3.35	1391291520	     8.64	        285.44亿	          6.50	普钢	11386	-0.33	20.79	21.95	22.85	20.63	21.50	-0.72	20.78	  0.78	644127	福建	
601336	新华保险	4.00	1383801856	    30.01	       1348.65亿	          1.04	保险	156	-0.01	64.68	61.89	64.96	61.85	62.18	2.49	64.67	  1.35	217164	北京	
000830	鲁西化工	9.22	1309794432	    17.86	        255.18亿	          5.31	农药化肥	27298	1.99	17.43	15.81	17.42	15.81	15.95	1.47	17.42	  1.02	777930	山东	
002460	赣锋锂业	-1.59	1304664576	    39.13	        523.57亿	          3.48	小金属	2534	0.11	71.84	72.80	74.14	70.81	72.99	-1.16	71.83	  0.86	180589	江西	
601668	中国建筑	-0.83	1250947456	     8.34	       2868.00亿	          0.44	建筑施工	6	0.10	9.56	9.59	9.61	9.48	9.64	-0.08	9.56	  0.66	1311067	北京	
000717	韶钢松山	-4.47	1246636672	    10.42	        243.16亿	          4.94	普钢	17578	-0.68	10.06	10.53	10.85	10.03	10.52	-0.47	10.05	  0.76	1196367	广东	
002415	海康威视	2.37	1234000512	    43.19	       3542.96亿	          0.44	电器仪表	3394	0.00	38.39	37.44	38.90	37.16	37.50	0.89	38.39	  0.90	322262	浙江	
600019	宝钢股份	-1.21	1224846976	    12.79	       1989.24亿	          0.62	普钢	338	0.22	8.99	9.16	9.20	8.86	9.11	-0.11	9.00	  0.81	1367855	上海	
600029	南方航空	5.10	1216240256	    12.17	        827.06亿	          1.55	空运	4	0.00	11.35	10.66	11.53	10.58	10.79	0.55	11.34	  1.13	1090132	广东	
300038	梅泰诺	-9.99	1207802496	    40.38	        171.21亿	         19.80	通信设备	311	0.00	40.91	43.48	43.75	40.91	45.45	-4.54	40.91	  1.70	288470	北京	
600036	招商银行	0.38	1197481984	     9.24	       5924.63亿	          0.20	银行	8	-0.09	28.75	28.43	29.07	28.42	28.61	0.11	28.72	  0.62	416075	深圳	
603019	中科曙光	1.11	1178236928	   290.69	        293.41亿	          4.05	电脑设备	30	-0.36	45.64	45.88	46.35	43.80	45.13	0.50	45.63	  0.88	260687	天津	
