代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
00700	腾讯控股	0.88	17941958656	388.400	385.000	100	46134932	-0.46	384.000	397.800	377.200	--  	0.00	5.35	3.400	软件服务	--  	388.400	
02318	中国平安	2.25	5784295424	77.200	75.500	500	75066048	-0.58	75.000	78.950	74.250	--  	0.00	6.23	1.700	保险	--  	77.200	
02382	舜宇光学科技	0.00	1740597504	132.000	132.000	1000	13196880	-0.08	130.100	135.300	127.100	--  	0.00	6.21	0.000	工业工程	--  	132.000	
00005	汇丰控股	-0.26	1701307648	77.700	77.900	400	21858708	-0.06	77.550	78.100	77.050	--  	1.00	1.35	-0.200	银行	--  	77.700	
00388	香港交易所	-0.25	1591126272	235.000	235.600	100	6700903	-0.51	235.600	240.600	233.600	--  	0.00	2.97	-0.600	其他金融	--  	235.000	
02007	碧桂园	3.11	1485814400	13.280	12.880	1000	113623160	0.00	12.880	13.460	12.660	--  	1.30	6.21	0.400	地产	--  	13.280	
00175	吉利汽车	2.18	1363174272	28.100	27.500	1000	48851972	-0.53	27.150	28.450	27.000	--  	0.00	5.27	0.600	汽车	--  	28.100	
01398	工商银行	-0.16	1281200640	6.070	6.080	1000	210820768	-0.33	6.070	6.110	6.020	--  	0.00	1.48	-0.010	银行	--  	6.070	
00939	建设银行	0.00	1254164352	6.810	6.810	1000	183768272	-0.44	6.780	6.870	6.770	--  	0.00	1.47	0.000	银行	--  	6.810	
00966	中国太平	2.97	1088100480	29.500	28.650	200	37477296	0.00	28.500	29.800	27.950	--  	0.00	6.46	0.850	保险	--  	29.500	
03988	中国银行	0.26	1066828736	3.820	3.810	1000	278986400	0.00	3.800	3.840	3.780	--  	0.00	1.57	0.010	银行	--  	3.820	
02018	瑞声科技	-0.13	1065645440	153.200	153.400	500	6914716	-0.78	152.200	157.500	148.800	--  	0.00	5.67	-0.200	信息器材	--  	153.200	
01299	友邦保险	0.63	1017462784	63.600	63.200	200	16094024	0.00	62.400	63.850	61.500	--  	0.40	3.72	0.400	保险	--  	63.600	
02628	中国人寿	0.59	883737536	25.450	25.300	1000	34566148	-0.39	25.200	25.850	25.100	--  	0.00	2.96	0.150	保险	--  	25.450	
00941	中国移动	-0.38	805446592	78.500	78.800	500	10219901	-0.25	79.250	79.250	78.500	--  	6.14	0.95	-0.300	电讯	--  	78.500	
01918	融创中国	1.15	801156672	35.200	34.800	1000	23215576	0.00	34.800	35.650	33.000	--  	0.00	7.61	0.400	地产	--  	35.200	
02601	中国太保	2.98	783769408	38.050	36.950	200	20551492	-0.52	37.000	38.750	36.400	--  	0.00	6.36	1.100	保险	--  	38.050	
00883	中国海洋石油	1.50	715540224	10.860	10.700	1000	65822488	-0.73	10.840	10.980	10.780	--  	1.84	1.87	0.160	石油天然气	--  	10.860	
06088	FIT HON TENG	10.79	686034496	6.980	6.300	1000	103200000	-0.43	6.260	7.070	6.050	--  	0.00	16.19	0.680	信息器材	--  	6.980	
03968	招商银行	0.50	657035200	30.350	30.200	500	21481768	-0.65	30.000	30.950	29.900	--  	0.00	3.48	0.150	银行	--  	30.350	
