代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
02800	盈富基金	-2.24	2704511744	28.400	29.050	500	94199672	-0.18	29.050	29.100	28.350	1715129472	0.00	2.58	-0.650		59718500	28.400	
02828	恒生Ｈ股	-2.84	1838740352	112.900	116.200	200	16144155	-0.09	116.200	116.500	112.800	426399776	0.00	3.18	-3.300		3745600	112.900	
02822	南方Ａ５０	-1.66	1210591360	15.400	15.660	200	78292936	0.00	15.560	15.620	15.300	639229312	0.00	2.04	-0.260		41320600	15.400	
02823	安硕Ａ５０	-1.58	657087040	14.960	15.200	100	43699472	0.00	15.140	15.200	14.880	119370128	0.00	2.11	-0.240		7941800	14.960	
03188	华夏沪深三百	-1.13	501210464	48.000	48.550	200	10431953	-0.21	48.400	48.450	47.600	118237704	0.00	1.75	-0.550		2461400	48.000	
00823	领展房产基金	0.00	267315616	69.350	69.350	500	3866016	0.36	69.100	69.550	68.500	32567102	0.00	1.51	0.000		470500	69.350	
07288	ＦＬ二南方国指	-5.86	122839120	8.840	9.390	100	13590500	-0.34	9.420	9.430	8.820	49036332	0.00	6.50	-0.550		5409800	8.840	
07300	ＦＩ南方恒指	2.28	101229416	5.820	5.690	100	17598600	0.17	5.690	5.820	5.680	19865792	0.00	2.46	0.130		3465000	5.820	
07200	ＦＬ二南方恒指	-4.76	71086256	10.400	10.920	100	6705700	-0.57	10.940	10.960	10.400	17289902	0.00	5.13	-0.520		1623100	10.400	
02801	安硕中国ＥＴＦ	-3.25	51785800	26.800	27.700	200	1895000	-0.19	27.600	27.600	26.800	--  	0.00	2.89	-0.900		--  	26.800	
00405	越秀房产信托基金	-2.30	38497660	5.100	5.220	1000	7486400	0.00	5.200	5.230	5.090	999100	0.00	2.68	-0.120		195000	5.100	
07205	ＦＬ二　三星恒指	-4.52	35974692	8.660	9.070	200	4068400	-0.69	9.100	9.100	8.660	10453210	0.00	4.85	-0.410		1180600	8.660	
07221	ＦＬ二华夏恒指	-4.47	32173810	11.540	12.080	100	2745500	-0.17	12.080	12.100	11.540	2440760	0.00	4.64	-0.540		209800	11.540	
83188	华夏沪深三百－Ｒ	-0.97	31230422	40.650	41.050	200	766258	-0.12	40.900	41.000	40.350	15525101	0.00	1.58	-0.400		381000	40.650	
02778	冠君产业信托	-0.69	26705232	5.740	5.780	1000	4665435	0.17	5.790	5.790	5.650	1134840	0.00	2.42	-0.040		198000	5.740	
02833	恒指ＥＴＦ	-2.54	21737256	28.750	29.500	100	749500	-0.35	29.600	29.600	28.750	--  	0.00	2.88	-0.750		--  	28.750	
07228	ＦＬ二　三星国指	-5.62	19655128	7.390	7.830	200	2604600	-0.27	7.870	7.870	7.390	7785765	0.00	6.13	-0.440		1031400	7.390	
07267	ＦＬ二华夏国指	-5.78	19604614	9.780	10.380	100	1973500	-0.20	10.380	10.380	9.790	278184	0.00	5.68	-0.600		27200	9.780	
00778	置富产业信托	-0.53	19144776	9.450	9.500	1000	2022000	0.00	9.500	9.520	9.440	360040	0.00	0.84	-0.050		38000	9.450	
82822	南方Ａ５０－Ｒ	-1.36	18770068	13.060	13.240	200	1432672	0.00	13.240	13.240	12.960	7712853	0.00	2.11	-0.180		590200	13.060	
07230	ＦＬ二未来国指	-5.74	16637622	9.190	9.750	100	1775100	-0.33	9.700	9.700	9.180	1001476	0.00	5.33	-0.560		105300	9.190	
02827	Ｘ标智沪深３００	-2.11	15236071	37.200	38.000	200	406200	0.27	38.600	38.600	36.800	--  	0.00	4.74	-0.800		--  	37.200	
02840	ＳＰＤＲ金ＥＴＦ	-0.63	14363781	941.500	947.500	10	15295	0.00	939.500	942.000	938.000	--  	0.00	0.42	-6.000		--  	941.500	
07231	ＦＬ二未来恒指	-4.41	13958801	10.840	11.340	100	1261400	-0.18	11.360	11.360	10.840	77500	0.00	4.59	-0.500		7000	10.840	
07388	ＦＩ南方国指	2.81	13516985	6.230	6.060	100	2187900	0.00	6.070	6.240	6.070	--  	0.00	2.81	0.170		--  	6.230	
03161	易亚中概股	-1.10	12863205	12.560	12.700	200	1020200	0.00	12.660	12.660	12.560	--  	0.00	0.79	-0.140		--  	12.560	
07312	ＦＩ　三星恒指	2.53	10617831	4.870	4.750	200	2209800	0.62	4.760	4.870	4.760	--  	0.00	2.32	0.120		--  	4.870	
07210	ＸＬ二易亚中概股	-1.62	9807388	15.820	16.080	200	618400	0.00	16.000	16.000	15.740	--  	0.00	1.62	-0.260		--  	15.820	
07321	ＦＩ华夏恒指	2.22	9507027	6.460	6.320	100	1485700	0.00	6.300	6.460	6.300	1113488	0.00	2.53	0.140		173700	6.460	
07328	ＦＩ　三星国指	2.77	8985160	5.200	5.060	200	1763800	0.39	5.070	5.210	5.070	--  	0.00	2.77	0.140		--  	5.200	
07362	ＦＩ未来国指	2.84	8236873	6.510	6.330	100	1269600	0.00	6.400	6.520	6.400	2796394	0.00	1.90	0.180		430400	6.510	
03167	南方中国新行业	-1.91	7881408	71.800	73.200	50	108900	0.00	73.200	73.350	71.600	--  	0.00	2.39	-1.400		--  	71.800	
87001	汇贤产业信托	0.65	6878144	3.110	3.090	1000	2216927	0.00	3.090	3.110	3.090	331700	0.00	0.65	0.020		107000	3.110	
82828	恒生Ｈ股－Ｒ	-2.99	5420061	95.600	98.550	200	56600	-0.62	98.550	98.550	95.500	--  	0.00	3.09	-2.950		--  	95.600	
07341	ＦＩ华夏国指	2.98	5245691	6.920	6.720	100	767600	0.14	6.750	6.920	6.740	611500	0.00	2.68	0.200		90000	6.920	
03128	恒生Ａ股龙头	-1.23	4839400	56.400	57.100	200	85200	0.00	56.950	56.950	56.100	--  	0.00	1.49	-0.700		--  	56.400	
00435	阳光房地产基金	-0.38	4387036	5.260	5.280	1000	830564	-0.57	5.310	5.310	5.260	221760	0.00	0.95	-0.020		42000	5.260	
00808	泓富产业信托	-0.30	4296475	3.280	3.290	1000	1308500	0.00	3.290	3.300	3.270	532240	0.00	0.91	-0.010		162000	3.280	
02802	安硕亚洲新兴	-1.16	4045560	55.300	55.950	200	72000	-0.27	56.000	56.300	55.450	112600	0.00	1.52	-0.650		2000	55.300	
03087	ＸＤＢ富时越南	-2.26	3870942	233.600	239.000	10	16560	-0.09	239.000	239.000	227.400	--  	0.00	4.85	-5.400		--  	233.600	
