代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
08495	1957 & CO.	-12.70	98088688	0.550	0.630	4000	159208000	0.00	0.680	0.700	0.540	--  	0.00	25.40	-0.080	酒店及消闲	--  	0.550	
08207	中新控股	0.00	44272484	1.030	1.030	4000	43136000	0.00	1.020	1.040	1.020	4812160	0.00	1.94	0.000	其他金融	4672000	1.030	
08325	中国支付通	-7.69	33331002	1.320	1.430	10000	23610000	-6.38	1.430	1.530	1.310	--  	0.00	15.38	-0.110	软件服务	--  	1.320	
08291	万成金属包装	60.83	29159552	1.930	1.200	5000	17550000	2.66	1.290	1.940	1.200	--  	0.00	61.67	0.730	工用支援	--  	1.930	
08420	NEXION TECH	20.69	26184168	1.050	0.870	5000	24413800	-5.41	0.890	1.230	0.880	--  	0.00	40.23	0.180	软件服务	--  	1.050	
08137	洪桥集团	1.24	21293582	1.630	1.610	2000	13564000	0.00	1.620	1.640	1.500	58680	0.00	8.70	0.020	工业工程	36000	1.630	
08078	ＨＭＶ数码中国	0.00	21054002	0.245	0.245	20000	86424768	0.00	0.244	0.247	0.242	111540	0.00	2.04	0.000	媒体及娱乐	460000	0.245	
08227	西安海天天一千	0.00	15228991	6.300	6.300	1000	2425000	-0.32	6.300	6.340	6.210	--  	0.00	2.06	0.000	信息器材	--  	6.300	
08392	舍图控股	-2.17	13283901	1.800	1.840	10000	7200000	0.00	1.840	1.890	1.770	--  	0.00	6.52	-0.040	家电及用品	--  	1.800	
08226	树熊金融集团	-1.96	13032861	0.250	0.255	4000	51192000	-1.96	0.255	0.255	0.250	--  	0.00	1.96	-0.005	农业产品	--  	0.250	
08167	中国新电信	3.83	12990145	0.190	0.183	4000	65308000	1.06	0.200	0.200	0.180	--  	0.00	10.93	0.007	信息器材	--  	0.190	
08118	濠亮环球	-16.04	11986601	0.445	0.530	8000	25656000	1.14	0.530	0.540	0.435	--  	0.00	19.81	-0.085	家电及用品	--  	0.445	
08383	东骏控股	-4.29	11843201	1.340	1.400	8000	8744000	2.29	1.410	1.450	1.300	--  	0.00	10.71	-0.060	工用支援	--  	1.340	
08005	裕兴科技	-1.56	9965140	0.630	0.640	2000	14438000	-3.08	0.640	0.870	0.630	--  	0.00	37.50	-0.010	信息器材	--  	0.630	
08156	众彩股份	2.53	9308300	0.810	0.790	5000	11635000	0.00	0.800	0.820	0.790	--  	0.00	3.80	0.020	酒店及消闲	--  	0.810	
08129	云信投资控股	2.86	7982661	0.072	0.070	20000	109460000	0.00	0.070	0.078	0.066	--  	0.00	17.14	0.002	软件服务	--  	0.072	
08057	麦迪森控股	-3.25	7623341	1.490	1.540	4000	5046000	-5.70	1.610	1.630	1.450	--  	0.00	11.69	-0.050	食物饮品	--  	1.490	
08158	中国再生医学	1.08	7532576	0.188	0.186	5000	39105000	0.53	0.183	0.198	0.183	40265	0.00	8.06	0.002	医药医疗	210000	0.188	
08133	铸能控股	0.00	7369801	0.280	0.280	20000	25920000	0.00	0.280	0.295	0.275	--  	0.00	7.14	0.000	工业工程	--  	0.280	
08469	盛业资本	-0.16	7102041	6.140	6.150	2000	1158000	-0.16	6.150	6.150	6.100	--  	0.00	0.81	-0.010	其他金融	--  	6.140	
08228	国艺娱乐	-1.16	6854616	0.425	0.430	20000	15727692	1.19	0.435	0.445	0.420	--  	0.00	5.81	-0.005	媒体及娱乐	--  	0.425	
08410	安领国际	0.00	6605101	1.510	1.510	10000	4380000	0.00	1.520	1.550	1.480	--  	0.00	4.64	0.000	软件服务	--  	1.510	
08059	朝威控股	-1.72	6414851	0.570	0.580	5000	11020000	-1.72	0.580	0.590	0.570	--  	0.00	3.45	-0.010	建筑	--  	0.570	
08261	海天能源	3.23	6271361	0.320	0.310	8000	20520000	3.23	0.305	0.325	0.295	--  	0.00	9.68	0.010	公用事业	--  	0.320	
08175	中国数码文化	1.82	5961251	0.560	0.550	10000	10305000	0.00	0.560	0.590	0.550	--  	0.00	7.27	0.010	酒店及消闲	--  	0.560	
08047	中国海洋捕捞	0.00	5071080	0.600	0.600	4000	8596000	0.00	0.590	0.610	0.580	--  	0.00	5.00	0.000	工用支援	--  	0.600	
08463	TOMO HOLDINGS	2.02	4877280	2.020	1.980	4000	2332000	0.00	2.000	2.200	1.960	--  	0.00	12.12	0.040	汽车	--  	2.020	
08279	亚博科技控股	-1.50	4620200	1.310	1.330	4000	3532000	1.55	1.330	1.340	1.280	126560	0.00	4.51	-0.020	酒店及消闲	96000	1.310	
08090	中国融保金融集团	-1.90	4535320	1.030	1.050	2000	4384000	-2.83	1.050	1.060	1.020	--  	0.00	3.81	-0.020	其他金融	--  	1.030	
08157	象兴国际	4.35	4517200	0.360	0.345	20000	12400000	0.00	0.345	0.395	0.340	--  	0.00	15.94	0.015	工用运输	--  	0.360	
08373	靛蓝星	-17.36	4411410	1.000	1.210	5000	4236000	-0.99	1.190	1.200	0.970	--  	0.00	19.01	-0.210	建筑	--  	1.000	
08370	智升集团控股	-2.44	4167040	3.990	4.090	8000	1040000	-0.50	4.090	4.090	3.990	128320	0.00	2.44	-0.100	家电及用品	32000	3.990	
08470	莹岚集团	-5.41	4043840	0.700	0.740	8000	5824000	0.00	0.740	0.760	0.620	--  	0.00	18.92	-0.040	建筑	--  	0.700	
08347	Ｆ８企业	3.23	3722800	0.320	0.310	8000	12288000	0.00	0.310	0.320	0.290	--  	0.00	9.68	0.010	石油天然气	--  	0.320	
08265	中国之信集团	-0.65	3503920	3.050	3.070	4000	1148000	0.00	3.020	3.070	3.020	207560	0.00	1.63	-0.020	工用支援	68000	3.050	
08086	ＤＸ．ＣＯＭ控股	-6.67	3443753	0.280	0.300	8000	11532200	3.70	0.300	0.315	0.265	--  	0.00	16.67	-0.020	软件服务	--  	0.280	
08437	德斯控股	-4.11	3421120	0.700	0.730	8000	4712000	0.00	0.760	0.810	0.690	--  	0.00	16.44	-0.030	医疗服务	--  	0.700	
08423	CHI HO DEV	15.53	3303900	1.190	1.030	10000	2840000	0.85	1.100	1.250	1.070	--  	0.00	17.48	0.160	建筑	--  	1.190	
08462	桥英控股	0.00	3280400	0.790	0.790	5000	4365000	8.22	0.770	0.800	0.720	--  	0.00	10.13	0.000	支援服务	--  	0.790	
08275	永勤集团控股	-10.53	3262700	1.020	1.140	10000	3170000	0.00	1.100	1.160	0.920	--  	0.00	21.05	-0.120	建筑	--  	1.020	
08102	利宝阁集团	-7.29	3222450	0.445	0.480	10000	7110000	1.14	0.480	0.480	0.440	--  	0.00	8.33	-0.035	酒店及消闲	--  	0.445	
08178	中国信息科技	-2.50	2968082	0.156	0.160	24000	19897600	0.65	0.164	0.164	0.140	--  	0.00	15.00	-0.004	软件服务	--  	0.156	
08331	飞尚非金属	0.00	2916400	1.600	1.600	10000	1830000	0.63	1.600	1.620	1.540	--  	0.00	5.00	0.000	一般金属	--  	1.600	
08083	中国创新支付	-2.44	2755700	0.400	0.410	4000	6876000	0.00	0.405	0.405	0.400	--  	0.00	1.22	-0.010	软件服务	--  	0.400	
08046	恒芯中国	0.00	2610396	0.035	0.035	4000	74345200	0.00	0.035	0.038	0.034	--  	0.00	11.43	0.000	媒体及娱乐	--  	0.035	
08400	亚洲先锋娱乐	-3.51	2591850	0.275	0.285	10000	9280000	0.00	0.285	0.290	0.275	--  	0.00	5.26	-0.010	酒店及消闲	--  	0.275	
08328	信义香港	-1.91	2570327	2.050	2.090	4000	1248747	0.49	2.090	2.090	2.030	--  	0.00	2.87	-0.040		--  	2.050	
08307	密迪斯肌	6.67	2517800	0.640	0.600	4000	3976000	0.00	0.610	0.660	0.610	--  	0.00	8.33	0.040	医疗服务	--  	0.640	
08187	永骏国际控股	3.95	2355450	1.580	1.520	5000	1420000	1.28	1.520	1.790	1.520	--  	0.00	17.76	0.060	纺织服饰	--  	1.580	
