date	open	high	low	close	vol
2015/08/13	3.362	3.402	3.232	3.292	67791
2015/08/14	3.312	3.392	3.242	3.297	55227
2015/08/17	3.352	3.352	3.157	3.232	51710
2015/08/18	3.302	3.322	3.062	3.082	86933
2015/08/19	3.042	3.127	2.947	2.962	164150
2015/08/20	2.937	2.977	2.742	2.752	208118
2015/08/21	2.677	2.777	2.647	2.647	178122
2015/08/24	2.532	2.587	2.387	2.427	170520
2015/08/25	2.377	2.582	2.302	2.407	149489
2015/08/26	2.447	2.482	2.292	2.297	190330
2015/08/27	2.427	2.522	2.367	2.482	180417
2015/08/28	2.532	2.632	2.497	2.507	109791
2015/08/31	2.522	2.577	2.387	2.482	124997
2015/09/01	2.417	2.462	2.262	2.272	161373
2015/09/02	2.232	2.367	2.112	2.207	151281
2015/09/04	2.232	2.282	2.182	2.232	83196
2015/09/07	2.177	2.337	2.177	2.307	154064
2015/09/08	2.357	2.552	2.312	2.547	137772
2015/09/09	2.647	2.857	2.647	2.712	360284
2015/09/10	2.632	2.712	2.587	2.697	138106
2015/09/11	2.732	2.822	2.692	2.762	157544
2015/09/14	2.807	2.867	2.697	2.737	160670
2015/09/15	2.757	2.777	2.682	2.717	73723
2015/09/16	2.737	2.877	2.737	2.847	101551
2015/09/17	2.852	2.902	2.792	2.857	110720
2015/09/18	2.872	2.952	2.847	2.877	72473
2015/09/21	2.862	2.962	2.852	2.952	54977
2015/09/22	3.012	3.027	2.887	2.897	85402
2015/09/23	2.882	2.897	2.687	2.722	106327
2015/09/24	2.757	2.772	2.672	2.732	43904
2015/09/25	2.742	2.767	2.647	2.727	34544
2015/09/29	2.632	2.632	2.512	2.552	114741
2015/09/30	2.582	2.662	2.532	2.637	107139
2015/10/02	2.772	2.957	2.677	2.952	191943
2015/10/05	3.022	3.032	2.887	2.937	81864
2015/10/06	2.962	2.992	2.937	2.967	83274
2015/10/07	2.967	3.027	2.932	3.017	125679
2015/10/08	2.997	3.017	2.872	2.892	60749
2015/10/09	2.947	3.002	2.912	2.927	61811
2015/10/12	2.962	3.067	2.902	3.052	111494
2015/10/13	3.057	3.057	2.987	3.012	69862
2015/10/14	3.017	3.032	2.937	2.977	42444
2015/10/15	2.982	3.072	2.952	3.047	45134
2015/10/16	3.047	3.117	3.007	3.067	62817
2015/10/19	3.087	3.122	3.057	3.087	45641
2015/10/20	3.057	3.077	2.952	2.992	74366
2015/10/22	2.962	2.962	2.867	2.882	93205
2015/10/23	2.927	3.007	2.897	2.997	64377
2015/10/26	3.072	3.072	2.967	2.982	57839
2015/10/27	2.987	3.012	2.867	2.887	82244
2015/10/28	2.892	2.942	2.822	2.847	73273
2015/10/29	2.847	2.897	2.847	2.862	54149
2015/10/30	2.842	2.882	2.682	2.717	137552
2015/11/02	2.697	2.817	2.697	2.722	32386
2015/11/03	2.792	2.792	2.682	2.702	33169
2015/11/04	2.732	2.877	2.717	2.857	90423
2015/11/05	2.877	2.907	2.802	2.897	63829
2015/11/06	2.957	2.957	2.877	2.937	53754
2015/11/09	2.942	2.992	2.897	2.927	44574
2015/11/10	2.922	2.957	2.857	2.907	63983
2015/11/11	2.932	2.957	2.797	2.827	126527
2015/11/12	2.857	2.937	2.857	2.887	107952
2015/11/13	2.872	2.932	2.747	2.787	255956
2015/11/16	2.607	2.762	2.557	2.707	196970
2015/11/17	2.822	2.822	2.677	2.682	131049
2015/11/18	2.707	2.752	2.657	2.702	132349
2015/11/19	2.747	2.747	2.657	2.662	106264
2015/11/20	2.692	2.732	2.637	2.727	116644
2015/11/23	2.717	2.757	2.657	2.692	148264
2015/11/24	2.687	2.752	2.637	2.662	133883
2015/11/25	2.647	2.667	2.562	2.592	163054
2015/11/26	2.622	2.667	2.577	2.582	94759
2015/11/27	2.622	2.622	2.497	2.502	102230
2015/11/30	2.502	2.577	2.477	2.517	947776
2015/12/01	2.547	2.642	2.522	2.637	254092
2015/12/02	2.647	2.767	2.617	2.752	265429
2015/12/03	2.702	2.732	2.697	2.727	72892
2015/12/04	2.682	2.702	2.627	2.647	41614
2015/12/07	2.672	2.687	2.632	2.647	48789
2015/12/08	2.652	2.652	2.517	2.542	82494
2015/12/09	2.532	2.542	2.487	2.522	52354
2015/12/10	2.502	2.552	2.412	2.422	78666
2015/12/11	2.417	2.427	2.342	2.382	131775
2015/12/14	2.332	2.447	2.302	2.437	105245
2015/12/15	2.447	2.462	2.387	2.447	98862
2015/12/16	2.457	2.517	2.442	2.507	58474
2015/12/17	2.512	2.542	2.482	2.527	52084
2015/12/18	2.457	2.507	2.432	2.472	61779
2015/12/21	2.422	2.532	2.382	2.497	111484
2015/12/22	2.527	2.577	2.482	2.512	41159
2015/12/23	2.537	2.592	2.527	2.572	56857
2015/12/24	2.617	2.652	2.602	2.607	47274
2015/12/28	2.607	2.647	2.557	2.562	47034
2015/12/29	2.557	2.622	2.557	2.617	56518
2015/12/30	2.612	2.647	2.572	2.637	63263
2015/12/31	2.597	2.652	2.592	2.617	16637
2016/01/04	2.577	2.622	2.442	2.477	58784
2016/01/05	2.412	2.487	2.412	2.477	92211
2016/01/06	2.472	2.472	2.372	2.447	84327
2016/01/07	2.412	2.412	2.282	2.332	109609
2016/01/08	2.327	2.382	2.257	2.302	74404
2016/01/11	2.232	2.232	2.112	2.132	169667
2016/01/12	2.162	2.192	2.062	2.067	56334
2016/01/13	2.142	2.202	2.097	2.137	76669
2016/01/14	2.057	2.157	2.022	2.147	108574
2016/01/15	2.122	2.132	2.037	2.047	105879
2016/01/18	2.007	2.072	1.987	2.012	67209
2016/01/19	2.057	2.252	2.057	2.237	192089
2016/01/20	2.187	2.212	2.082	2.112	152625
2016/01/21	2.167	2.167	2.042	2.067	105329
2016/01/22	2.152	2.197	2.087	2.187	165514
2016/01/25	2.197	2.282	2.192	2.202	92067
2016/01/26	2.152	2.162	2.047	2.062	158305
2016/01/27	2.082	2.122	2.012	2.072	104339
2016/01/28	2.022	2.112	2.022	2.087	37179
2016/01/29	2.062	2.132	2.062	2.127	65079
2016/02/01	2.167	2.167	2.047	2.062	74129
2016/02/02	2.052	2.092	2.022	2.047	67524
2016/02/03	2.062	2.062	1.972	2.042	68380
2016/02/04	2.062	2.097	2.042	2.052	22779
2016/02/05	2.097	2.097	2.027	2.042	58651
2016/02/15	1.967	2.022	1.967	1.997	62362
2016/02/16	2.022	2.097	1.972	2.082	62975
2016/02/17	2.077	2.162	2.067	2.122	110384
2016/02/18	2.177	2.197	2.137	2.162	83979
2016/02/19	2.192	2.242	2.137	2.237	77479
2016/02/22	2.267	2.272	2.217	2.252	33684
2016/02/23	2.312	2.312	2.167	2.182	62769
2016/02/24	2.182	2.197	2.117	2.172	48524
2016/02/25	2.192	2.192	2.097	2.127	56689
2016/02/26	2.177	2.177	2.137	2.167	27800
2016/02/29	2.107	2.182	2.107	2.162	44599
2016/03/01	2.212	2.352	2.172	2.317	143309
2016/03/02	2.412	2.502	2.402	2.467	218427
2016/03/03	2.487	2.532	2.432	2.467	82820
2016/03/04	2.507	2.642	2.472	2.592	216679
2016/03/07	2.612	2.637	2.432	2.437	163254
2016/03/08	2.472	2.502	2.362	2.492	124244
2016/03/09	2.457	2.457	2.362	2.407	94989
2016/03/10	2.427	2.447	2.342	2.352	56578
2016/03/11	2.352	2.422	2.352	2.412	56002
2016/03/14	2.457	2.602	2.447	2.507	186110
2016/03/15	2.517	2.572	2.482	2.537	113768
2016/03/16	2.532	2.552	2.452	2.472	59029
2016/03/17	2.522	2.572	2.512	2.522	55629
2016/03/18	2.567	2.722	2.517	2.682	240593
2016/03/21	2.732	2.787	2.682	2.777	218034
2016/03/22	2.782	2.797	2.642	2.697	160229
2016/03/23	2.692	2.842	2.682	2.777	143146
2016/03/24	2.842	2.842	2.707	2.752	136129
2016/03/29	2.752	2.762	2.622	2.722	127977
2016/03/30	2.717	2.852	2.717	2.852	162544
2016/03/31	2.852	2.982	2.812	2.977	195654
2016/04/01	2.977	2.977	2.852	2.942	101202
2016/04/05	2.927	2.977	2.892	2.932	76284
2016/04/06	3.022	3.172	3.012	3.117	296619
2016/04/07	3.112	3.187	3.042	3.082	117719
2016/04/08	3.047	3.072	2.957	3.047	114224
2016/04/11	3.072	3.202	3.042	3.182	133104
2016/04/12	3.127	3.182	3.097	3.132	198570
2016/04/13	3.152	3.242	3.117	3.127	206703
2016/04/14	3.132	3.177	3.072	3.132	103634
2016/04/15	3.157	3.157	3.082	3.102	114563
2016/04/18	3.132	3.222	2.962	3.042	166387
2016/04/19	3.092	3.097	3.012	3.037	68421
